seed,gamma,low,high,time_scale,plant,severity,method,tracking,steering_rms,peak_rate,feasible,worst_family
21,0,18,22,2,beta_noacc,near_linear,M1,0.0037254909119249224,0.37772666114779796,0.4761116064582875,1.0,0.00381640800496167
21,0,18,22,2,beta_noacc,near_linear,M2,0.003708130956013278,0.3777267742947286,0.4761311489659976,1.0,0.0038387604538681966
21,0,18,22,2,beta_noacc,near_linear,M3,0.003613723320942518,0.3777136455482155,0.4765163672390325,1.0,0.0037478764163654333
21,0,18,22,2,beta_noacc,near_linear,M4,0.003597640665271182,0.3777137695769548,0.4765386808580447,1.0,0.0037581086620166433
21,0,18,22,2,beta_noacc,strong,M1,0.01247277904217576,1.1502377754447297,1.456946090447004,1.0,0.012780752424827168
21,0,18,22,2,beta_noacc,strong,M2,0.012418741715535225,1.1502380964629302,1.4570024036094642,1.0,0.012850065843207645
21,0,18,22,2,beta_noacc,strong,M3,0.01222002461221137,1.1501932017087404,1.4582803160423845,1.0,0.01265715721251914
21,0,18,22,2,beta_noacc,strong,M4,0.012171688448938432,1.1501935620924781,1.4583448356667064,1.0,0.012691285715969353
21,0,18,22,2,legacy,moderate,M1,0.007722762994015767,0.7594427154111879,0.9587543913291894,1.0,0.007913547785761376
21,0,18,22,2,legacy,moderate,M2,0.007687545942229036,0.7594429365268834,0.9587930349628953,1.0,0.007958313941436123
21,0,18,22,2,legacy,moderate,M3,0.007520154765833907,0.7594154841030558,0.959591160360726,1.0,0.00779752689698155
21,0,18,22,2,legacy,moderate,M4,0.007487988811867784,0.7594157284328225,0.959635321346609,1.0,0.007818289068371377
21,0,18,22,2,legacy,near_linear,M1,0.00372549235674881,0.3777267850119526,0.476094039107834,1.0,0.0038163982551091603
21,0,18,22,2,legacy,near_linear,M2,0.003708130132804279,0.37772689815259197,0.4761135820554546,1.0,0.0038387556594457833
21,0,18,22,2,legacy,near_linear,M3,0.0036136620618397253,0.377713765676688,0.4764988109163573,1.0,0.0037477974296001903
21,0,18,22,2,legacy,near_linear,M4,0.0035975771358304704,0.37771388969937547,0.4765211246984921,1.0,0.00375803568154831
21,0,18,22,2,legacy,strong,M1,0.012472834566066163,1.150238192141052,1.45690618447651,1.0,0.012780774441439068
21,0,18,22,2,legacy,strong,M2,0.012418791292065317,1.1502385131457322,1.4569624988625296,1.0,0.012850102826016946
21,0,18,22,2,legacy,strong,M3,0.012219913155252674,1.1501936098723353,1.458240486322031,1.0,0.012656994741617928
21,0,18,22,2,legacy,strong,M4,0.01217157052300278,1.150193970244656,1.4583050063774774,1.0,0.012691140858850983
21,0,18,22,2,vy,moderate,M1,0.007723046234452921,0.7594390803513301,0.9593447678960928,1.0,0.007913921239104803
21,0,18,22,2,vy,moderate,M2,0.00768782738479203,0.7594393012328322,0.9593834971466728,1.0,0.007958671685247963
21,0,18,22,2,vy,moderate,M3,0.007520623436940648,0.75941195339882,0.9601826014324056,1.0,0.00779811699805495
21,0,18,22,2,vy,moderate,M4,0.007488448010457219,0.7594121975150281,0.9602268489095768,1.0,0.007818852481674339
21,0,18,22,2,vy,near_linear,M1,0.0037255060232725345,0.37772471417794906,0.4763443501939858,1.0,0.0038164550991184668
21,0,18,22,2,vy,near_linear,M2,0.003708144011983639,0.37772482721573564,0.4763639327424542,1.0,0.00383880323311193
21,0,18,22,2,vy,near_linear,M3,0.0036137480681543957,0.37771173806025105,0.4767495032726545,1.0,0.003747941364135787
21,0,18,22,2,vy,near_linear,M4,0.0035976593528922467,0.37771186198761436,0.4767718568817745,1.0,0.0037581649689749368
21,0,18,22,2,vy,strong,M1,0.012474513467135028,1.1502342314238803,1.4580918069192292,1.0,0.012782588034497496
21,0,18,22,2,vy,strong,M2,0.01242045942088077,1.150234552006052,1.4581482696803512,1.0,0.012851910121452512
21,0,18,22,2,vy,strong,M3,0.012221963296875245,1.1501898696982253,1.459428752637406,1.0,0.012659229274486877
21,0,18,22,2,vy,strong,M4,0.012173599058613989,1.1501902296980495,1.45949342420088,1.0,0.01269335240416928
21,1,10,30,1,beta_noacc,moderate,M1,0.03985537101678536,0.7985035613535053,2.2864182220293734,1.0,0.04777067435587177
21,1,10,30,1,beta_noacc,moderate,M2,0.0353158606154955,0.7984263946460745,2.294743007289531,1.0,0.03664267601270062
21,1,10,30,1,beta_noacc,moderate,M3,0.032038151871320995,0.7981663455352078,2.297731250232958,1.0,0.03749415168555145
21,1,10,30,1,beta_noacc,moderate,M4,0.026309250196218815,0.7981310085657155,2.3058796883094894,1.0,0.027657491969640218
21,1,10,30,1,beta_noacc,near_linear,M1,0.0193341383418562,0.3968065759380138,1.1401487867395672,1.0,0.023081200136717994
21,1,10,30,1,beta_noacc,near_linear,M2,0.017182740084714963,0.39677036289386924,1.1443432723937184,1.0,0.01788902448518893
21,1,10,30,1,beta_noacc,near_linear,M3,0.0153763326587489,0.39665613835104474,1.145788663646031,1.0,0.01794607947043169
21,1,10,30,1,beta_noacc,near_linear,M4,0.012598449043338735,0.3966388088422617,1.1498885848075453,1.0,0.013267421667835141
21,1,10,30,1,beta_noacc,strong,M1,0.06399797958379026,1.2105001619749616,3.445571632299164,1.0,0.07722993465406607
21,1,10,30,1,beta_noacc,strong,M2,0.05663967758919733,1.2103824826797622,3.4580297301174205,1.0,0.05841163117420449
21,1,10,30,1,beta_noacc,strong,M3,0.05241840648461882,1.2098937664938574,3.462695935353407,1.0,0.06176570981356329
21,1,10,30,1,beta_noacc,strong,M4,0.043520836203999734,1.209850090557452,3.474799224525279,1.0,0.045577588690292804
21,1,10,30,1,legacy,moderate,M1,0.039857815346969395,0.7984987496323093,2.286490866252294,1.0,0.04777566055982179
21,1,10,30,1,legacy,moderate,M2,0.03531616957037177,0.7984215504945666,2.294799661359268,1.0,0.036643486408765115
21,1,10,30,1,legacy,moderate,M3,0.032036202059812925,0.7981607148025253,2.2977865587831907,1.0,0.03749744263521167
21,1,10,30,1,legacy,moderate,M4,0.026305004950502326,0.7981253714434687,2.305911763212868,1.0,0.02765242236952948
21,1,10,30,1,legacy,near_linear,M1,0.019335110245986605,0.3968044995240716,1.1401886917736264,1.0,0.023083256187044092
21,1,10,30,1,legacy,near_linear,M2,0.017182681977770814,0.39676826655215136,1.144370377598945,1.0,0.01788924095714368
21,1,10,30,1,legacy,near_linear,M3,0.01537497597048958,0.396653630960349,1.1458149285569013,1.0,0.017947151865620993
21,1,10,30,1,legacy,near_linear,M4,0.012595980537461186,0.3966362941102224,1.1499086535538905,1.0,0.013264547017709632
21,1,10,30,1,legacy,strong,M1,0.06400413333479817,1.2104906864584666,3.445677577563961,1.0,0.07724122781308924
21,1,10,30,1,legacy,strong,M2,0.05664258927161558,1.2103729821620088,3.45810972755774,1.0,0.058415283126545224
21,1,10,30,1,legacy,strong,M3,0.05241889171912668,1.209883196479472,3.4627749757831108,1.0,0.0617753093068086
