speed_mps,a00,a01,a10,a11,b00,b10,continuous_pole_1_real,continuous_pole_1_imag,continuous_pole_2_real,continuous_pole_2_imag,discrete_pole_radius_max,beta_dc_gain_rad_per_rad,yaw_rate_dc_gain_per_s,kinematic_yaw_gain_per_s,controllability_sigma_min,controllability_condition,a_condition,ad_condition
21.4,-4.984423676012462,-0.953416601158762,12.8,-5.981308411214953,2.492211838006231,38.4,-5.482866043613708,3.457641927819048,-5.482866043613708,-3.457641927819048,0.9466473321998294,-0.5165636336221802,5.314553824048534,7.642857142857143,6.70632240408006,30.90554592857076,5.170345792918749,1.126134516119712
21.5,-4.961240310077519,-0.9538489273481161,12.8,-5.953488372093023,2.4806201550387597,38.4,-5.45736434108527,3.4587753925215354,-5.45736434108527,-3.4587753925215354,0.9468887741710781,-0.5236305345199275,5.324194350782156,7.678571428571429,6.739449659358558,30.619749249210543,5.192555568794869,1.1261252968870665
21.6,-4.938271604938271,-0.9542752629172382,12.8,-5.925925925925926,2.4691358024691357,38.4,-5.432098765432098,3.4598927874862326,-5.432098765432098,-3.4598927874862326,0.9471280412955032,-0.530689995766897,5.333709609143503,7.714285714285715,6.77252979957191,30.338236730131865,5.21473466842406,1.1261162050291669
21.700000000000003,-4.915514592933947,-0.9546957180374751,12.8,-5.898617511520737,2.4577572964669736,38.4,-5.407066052227343,3.460994416890357,-5.407066052227343,-3.460994416890357,0.9473651628194999,-0.5377418014496547,5.34310029085425,7.750000000000002,6.805563004767539,30.060921519042083,5.236882536317638,1.1261072382119584
21.8,-4.892966360856269,-0.9551104003591168,12.8,-5.871559633027523,2.4464831804281344,38.4,-5.382262996941897,3.4620805777035266,-5.382262996941897,-3.4620805777035266,0.947600167467551,-0.5447857387125912,5.352367089606551,7.7857142857142865,6.838549450977427,29.787718988713717,5.258998624935268,1.1260983941545688
21.9,-4.87062404870624,-0.9555194150803084,12.8,-5.844748858447488,2.43531202435312,38.4,-5.357686453576864,3.4631515598930394,-5.357686453576864,-3.4631515598930394,0.9478330834538125,-0.5518215977424298,5.361510700944079,7.821428571428571,6.871489310322415,29.518546667945234,5.281082394655688,1.1260896706278618
22.0,-4.848484848484849,-0.9559228650137741,12.8,-5.818181818181818,2.4242424242424243,38.4,-5.333333333333334,3.464207646622303,-5.333333333333334,-3.464207646622303,0.9480639384933957,-0.5588491717523973,5.370531822144725,7.857142857142858,6.904382751113936,29.253324175039,5.303133313746247,1.126081065453035
22.1,-4.826546003016591,-0.9563208506514336,12.8,-5.791855203619909,2.4132730015082955,38.4,-5.309200603318251,3.465249114442712,-5.309200603318251,-3.465249114442712,0.9482927598133475,-0.5658682569660721,5.3794311521049805,7.892857142857144,6.937229937952615,28.991973153693046,5.3251508583312175,1.126072576500266
22.200000000000003,-4.804804804804804,-0.9567134702269837,12.8,-5.765765765765765,2.402402402402402,38.4,-5.285285285285283,3.466276233479184,-5.285285285285283,-3.466276233479184,0.9485195741633462,-0.5728786526009205,5.388209391225957,7.92857142857143,6.970031031824544,28.734417211203443,5.347134512359037,1.1260642016873932
22.3,-4.783258594917788,-0.9571008197765221,12.8,-5.739910313901345,2.391629297458894,38.4,-5.261584454409567,3.467289267609632,-5.261584454409567,-3.467289267609632,0.9487444078261119,-0.5798801608515369,5.396867241301073,7.964285714285715,7.002786190194534,28.480581858884374,5.369083767568391,1.1260559389786482
