case,method,client,family,rho,worst_speed,mean_relative_a,mean_relative_b,tracking_rmse_deg_s,beta_rms_deg,steering_rms_deg,peak_steering_deg,peak_steering_rate_deg_s,peak_lateral_accel_mps2,peak_force_utilization,finite,feasible
nonlinear_near_svd,M5,handling_07,handling,1.0120442009459385,12.0,0.08518508462035584,0.5856369981643376,0.05737910637017286,0.29322180261343483,1.1017744629686044,2.43490896359313,21.995671273098708,3.26027087751782,0.378842196973096,True,True
nonlinear_near_svd,M5,handling_08,handling,1.012679856760477,12.0,0.08986230818470684,0.5847261049789052,0.062126928841528414,0.2692657918708561,1.0497956698624227,2.33715072600251,23.08631853515003,3.325865754415049,0.39080735365447616,True,True
nonlinear_near_svd,M5,handling_09,handling,1.012969131773738,12.0,0.08615228493842261,0.5838180020191127,0.06508636983764794,0.2537708065276833,1.0747818382724916,2.3810404703419,22.93832474444013,3.3462634122338,0.3943723156023518,True,True
linear_all_svd,M1,nominal_00,nominal,0.9607048137526003,12.0,0.061600546707940636,0.7523511566112215,0.06543661565650301,0.3157166502848383,1.011419144068585,2.2617102198356465,2.0120509687886585,3.142045321052207,0.3620633348826113,True,True
linear_all_svd,M1,nominal_01,nominal,0.9601929265556897,28.0,0.05319144836786484,0.7741432088289341,0.05814481183492111,0.3438719299015731,0.9115323109370349,2.077121806609426,1.8572285614341062,3.138763125855067,0.36208230339528713,True,True
linear_all_svd,M1,nominal_02,nominal,0.9603587112248326,12.0,0.05428017486250431,0.7768983165586113,0.05807993977029793,0.34284073700294215,0.9285792999894685,2.108184029271825,1.88269511267153,3.1401591080689983,0.3619593645715607,True,True
linear_all_svd,M1,nominal_03,nominal,0.9602472883513627,12.0,0.05243523378149611,0.758180259915457,0.06102248320947198,0.34140767228962077,0.9615882709213807,2.1704292032657713,1.9358826809177148,3.135310965117672,0.3617696887866529,True,True
linear_all_svd,M1,nominal_04,nominal,0.9601880652800651,12.0,0.05194259506139458,0.7602698833376045,0.060411721659000994,0.34765520486780216,0.9553497287262792,2.1589022049992272,1.9262183747185209,3.133962201554393,0.3616438353029217,True,True
linear_all_svd,M1,nominal_05,nominal,0.9607558770645156,12.0,0.061243095021973656,0.7681560140453104,0.061936178896968036,0.3210233738534761,0.9836886570284511,2.209628719329031,1.9676314412948452,3.144672528882501,0.36212852007110685,True,True
linear_all_svd,M1,nominal_06,nominal,0.9610189338698321,28.0,0.05049421192839969,0.7644693593434319,0.05924860577981379,0.37477690142592,0.9340697480856114,2.1198808735324315,1.8938696497994996,3.126829131640438,0.3610429201099831,True,True
linear_all_svd,M1,nominal_07,nominal,0.9606519514486134,28.0,0.050746513786016446,0.7611691786993977,0.059638505396215985,0.35923855011104217,0.917126824666708,2.0888808706032562,1.8683569937243805,3.1301691846618103,0.36163609205648195,True,True
linear_all_svd,M1,nominal_08,nominal,0.9605888940875525,12.0,0.05702321603981974,0.7654774803438193,0.06135148821914936,0.32123719223375813,0.9668269673903576,2.1790218602778384,1.9422974153496844,3.1437090374745877,0.36225934946640864,True,True
linear_all_svd,M1,nominal_09,nominal,0.9606340060665842,28.0,0.05123734222062625,0.7648631557565401,0.05918993667690107,0.35868303752097513,0.9168468904476074,2.0879854524180903,1.867248259998457,3.131500218999906,0.361647272935323,True,True
linear_all_svd,M1,heavy_00,heavy,0.9635906963000571,28.0,0.050566118411046336,0.7316100222351781,0.06801866724514384,0.470085216470851,0.908682456228344,2.078070734388619,1.8646579015419935,3.0868077566069974,0.35856346964975355,True,True
linear_all_svd,M1,heavy_01,heavy,0.9626005514975705,28.0,0.04496258865205722,0.7338555892296784,0.06390618261639279,0.43840667859642884,0.9562931541530444,2.1647117483607445,1.9342315208485574,3.0981816394952975,0.359086048115557,True,True
linear_all_svd,M1,heavy_02,heavy,0.9620093928479022,28.0,0.04675768292269118,0.7343442662962867,0.06354863696376001,0.41044552298272075,0.9350224950456725,2.1252406218082975,1.9017388208815058,3.106601739319142,0.3601060450516493,True,True
linear_all_svd,M1,heavy_03,heavy,0.9634055103271015,28.0,0.047436300273925175,0.7214531428097237,0.06799703655287082,0.46687231766695836,0.9300754353844343,2.118424537803055,1.8985362106428085,3.08505063889267,0.3585180631665745,True,True
linear_all_svd,M1,heavy_04,heavy,0.9634369337727005,28.0,0.05172948349263539,0.7386433973141472,0.06693441443764372,0.46130766134012174,0.900326931447334,2.061835303741808,1.8504120509080537,3.0915688872898417,0.3588687731609321,True,True
linear_all_svd,M1,heavy_05,heavy,0.9622489664023166,28.0,0.04727936729879676,0.7437309942964648,0.06258470679516438,0.419588088056955,0.934295360117058,2.123055514130626,1.8989765725440582,3.106732546672748,0.3597986317958391,True,True
linear_all_svd,M1,heavy_06,heavy,0.962683883160146,28.0,0.04354012643157582,0.7289856205878852,0.06427398181442698,0.4466205814045887,0.9779548645766589,2.205055950163227,1.9677191414773945,3.094425713450491,0.358660459292674,True,True
linear_all_svd,M1,heavy_07,heavy,0.9629750968647458,28.0,0.0428483333842032,0.7180954969256333,0.06622564869843083,0.45812497531313157,0.9730134065180903,2.1973765373972847,1.9626579656456968,3.0875679737720327,0.3583995010717097,True,True
linear_all_svd,M1,heavy_08,heavy,0.9643169982325949,28.0,0.05388180006316193,0.7370417191853116,0.07093221568726153,0.5000951492742779,0.8913138071796023,2.045955268115201,1.8385017481870694,3.0788660201760263,0.35776619475911003,True,True
linear_all_svd,M1,heavy_09,heavy,0.9623331537242272,28.0,0.046916253462563784,0.736674770590171,0.0636343636685736,0.4228131707270556,0.934070201603753,2.123437622332948,1.9001288285220839,3.1035417265174776,0.3597406012386209,True,True
linear_all_svd,M1,handling_00,handling,0.9615895783067767,12.0,0.09240406770814186,0.7745724404681729,0.07075584337094488,0.2749392158633612,1.0509985634563876,2.3314307802417353,2.0690980235909633,3.1604342658942843,0.36283081902332115,True,True
linear_all_svd,M1,handling_01,handling,0.9615569085617064,12.0,0.09083560766853016,0.777776822617446,0.06912142539699888,0.2825796008481036,1.0453505010923596,2.320997867530724,2.0602189977226657,3.158890997301743,0.3626724653137933,True,True
linear_all_svd,M1,handling_02,handling,0.9615955085404849,12.0,0.09234179342414985,0.7721462407442352,0.0716858742263161,0.26887139793478654,1.0514551912149792,2.332333591463793,2.0699392786579556,3.1617178114837365,0.3629869850237951,True,True
linear_all_svd,M1,handling_03,handling,0.96189174977253,12.0,0.11267559181789046,0.7659561891940744,0.07983685839209256,0.255293192570537,1.1081898810793955,2.436179889663644,2.1574901077417015,3.163999722589427,0.3628996796826968,True,True
linear_all_svd,M1,handling_04,handling,0.9619802176089894,12.0,0.11668585089289679,0.761515050528146,0.08356254680859981,0.23186742620091436,1.1088210898074942,2.4371960247090323,2.158500288140936,3.170269604184358,0.36349867927392765,True,True
linear_all_svd,M1,handling_05,handling,0.9618283735466708,12.0,0.10454135286992003,0.7745894643519927,0.07543125588603919,0.2510759191455034,1.0675037188651875,2.3611578775229014,2.093995597030041,3.167753630010909,0.3633193226954526,True,True
linear_all_svd,M1,handling_06,handling,0.9615935595169129,12.0,0.09537317281526185,0.7685722708612962,0.0728048938532688,0.28002868948988924,1.0739051745257926,2.373853182738878,2.105029824545471,3.1571442170641135,0.36251483948417734,True,True
linear_all_svd,M1,handling_07,handling,0.9615621542402881,12.0,0.09713605403986525,0.7630909833831583,0.07404980760475639,0.2927663936022146,1.0979633686426886,2.418455286937575,2.1427314027754045,3.1517040344156277,0.36197507181554234,True,True
linear_all_svd,M1,handling_08,handling,0.9614958280778483,12.0,0.08741216236555052,0.7673682549013473,0.07151667100176318,0.26867959088771454,1.0460170195679412,2.322782880768404,2.0620733197033605,3.1605819896402396,0.363034011679117,True,True
linear_all_svd,M1,handling_09,handling,0.9617747314130554,12.0,0.10226108827012718,0.7703806980740375,0.07578481976495836,0.25314964426373954,1.0709716302988808,2.3678486272627075,2.0998217906788277,3.1660543099467344,0.36324263091460207,True,True
linear_all_svd,M2,nominal_00,nominal,0.959478041142303,28.0,0.07892263058240061,0.33597112553090297,0.03730714671391948,0.3146928463119931,1.010208338016703,2.2663877163957173,2.0172943373851093,3.129016932327095,0.36053512114724473,True,True
linear_all_svd,M2,nominal_01,nominal,0.9585838761392992,28.0,0.05122778153930185,0.39402897004000575,0.030313244825389697,0.3425394476805461,0.9099395740581835,2.080108844918863,1.8597272456812792,3.1227188703503503,0.3601743596002924,True,True
linear_all_svd,M2,nominal_02,nominal,0.9589620857560353,28.0,0.057667105393162235,0.4011359121838509,0.030154153046844982,0.3415301514992519,0.927017742082206,2.111344427597593,1.885593336107846,3.1242634494131014,0.3600825416704696,True,True
linear_all_svd,M2,nominal_03,nominal,0.9595884137326497,28.0,0.060846229360785854,0.3515344372204165,0.0330499262134356,0.340110610098479,0.9599597594484642,2.1738074632946622,1.9388523435331644,3.1197080736931126,0.35991468952990563,True,True
linear_all_svd,M2,nominal_04,nominal,0.9597432370476302,28.0,0.058851744685410524,0.35702001127539085,0.03252763696742344,0.34629118014063975,0.9536315820263137,2.162028030245356,1.928767283546766,3.1177094389386224,0.35971681821462387,True,True
linear_all_svd,M2,nominal_05,nominal,0.9591740944442608,28.0,0.07593608250780776,0.37776085519058084,0.033735048655054375,0.31994898106740993,0.9824468975394056,2.214022019176898,1.9725264742850703,3.1310103744485622,0.360519453650518,True,True
linear_all_svd,M2,nominal_06,nominal,0.960528746563887,28.0,0.050681162453927904,0.36799935885513757,0.0313785572861366,0.3731046617573887,0.9319530878396036,2.1219646488489152,1.8945842670929562,3.107940555616711,0.3588125374159157,True,True
linear_all_svd,M2,nominal_07,nominal,0.9594189458465997,28.0,0.04671285575041028,0.35968842088559977,0.03169061588055579,0.3577296564148683,0.9152366833404285,2.0912667525140547,1.8696507513678364,3.1126492689578575,0.3595716962176573,True,True
linear_all_svd,M2,nominal_08,nominal,0.9588014649452727,28.0,0.0686947840805886,0.37087808775068154,0.0328741769751274,0.3201516846696268,0.9655587122614199,2.183171149990029,1.946780866008931,3.1299704191073237,0.3606457312724009,True,True
linear_all_svd,M2,nominal_09,nominal,0.959398915984129,28.0,0.04786564497446552,0.369395797423076,0.03128805659216962,0.35718402892818324,0.9149842269194602,2.090425245810738,1.868667398010428,3.114016025334568,0.3595854477452202,True,True
linear_all_svd,M2,heavy_00,heavy,0.956249980369585,28.0,0.033479559196951496,0.522980588843697,0.04795775917889008,0.46759346797009527,0.9055630808781666,2.07510421698475,1.857335818484411,3.0639822769835763,0.3558258839777165,True,True
linear_all_svd,M2,heavy_01,heavy,0.9552073968687794,28.0,0.03535868372764374,0.5269684184695174,0.049217758188852594,0.43627290975325345,0.9534126359162731,2.1625130752417645,1.9284404545912066,3.0771514413219556,0.35657521529285746,True,True
linear_all_svd,M2,heavy_02,heavy,0.9546086784171911,28.0,0.03508649382266515,0.5278336225280826,0.04877830310351583,0.4085761007609269,0.9324858314049663,2.12366479073969,1.897043207996326,3.087218794063669,0.35778648290513126,True,True
linear_all_svd,M2,heavy_03,heavy,0.9559146364824829,28.0,0.03158207900005978,0.5049514261862994,0.04938768849906255,0.4644144038969324,0.9268990086005624,2.115485966842103,1.8911720476250597,3.0624624160513743,0.35580579481616953,True,True
linear_all_svd,M2,heavy_04,heavy,0.9561797986551106,28.0,0.034643733182639636,0.5354664625698691,0.047082663251666546,0.45891483865596794,0.8973458293097794,2.059067715957066,1.8436095071574194,3.069220875332746,0.35618818746788206,True,True
linear_all_svd,M2,heavy_05,heavy,0.9549779847911182,28.0,0.036369178803050045,0.5444989702736117,0.04760625385521103,0.41764029277379916,0.9316975417187916,2.121311947999262,1.8941022526211997,3.086775852149056,0.3574171119976552,True,True
linear_all_svd,M2,heavy_06,heavy,0.9552175822559996,28.0,0.03636194529000906,0.5183262621104295,0.050608842613388855,0.4444076870229509,0.9749185219227203,2.2026191818437337,1.961538319072249,3.0730292294833155,0.356096378299298,True,True
