seed,method,cohort,epsilon,draw,tracking,feasible,rho
87,Isotropic,10,8,5,0.012738686962811621,1.0,0.968089628246272
87,Isotropic,10,8,6,0.008267788733751337,1.0,0.9697742537848748
87,Isotropic,10,8,7,0.011132747639934146,1.0,0.9710040755063306
87,Isotropic,10,8,8,0.010327998932264663,1.0,0.9687932555897438
87,Isotropic,10,8,9,0.009194196137658067,1.0,0.9695673315219804
87,Isotropic,10,inf,0,0.0076171226023438055,1.0,0.9692806119818456
87,Isotropic,30,2,0,0.011653677316147098,1.0,0.9686879601729652
87,Isotropic,30,2,1,0.012081401642066305,1.0,0.9679757405945374
87,Isotropic,30,2,2,0.009286762688948827,1.0,0.9704940846403144
87,Isotropic,30,2,3,0.011366730709893549,1.0,0.970837272844974
87,Isotropic,30,2,4,0.00896617475109677,1.0,0.969281486533394
87,Isotropic,30,2,5,0.013421007521729322,1.0,0.9705621315196682
87,Isotropic,30,2,6,0.016987920037363546,1.0,0.966301487235342
87,Isotropic,30,2,7,0.01231220868021536,1.0,0.968388872357814
87,Isotropic,30,2,8,0.010679033593627284,1.0,0.9698742975792488
87,Isotropic,30,2,9,0.01948303846271321,1.0,0.9698672157828574
87,Isotropic,30,4,0,0.008958118020206397,1.0,0.9701652906267582
87,Isotropic,30,4,1,0.0076772263784540455,1.0,0.9695234801544624
87,Isotropic,30,4,2,0.010266399527528598,1.0,0.9675124326964336
87,Isotropic,30,4,3,0.010805529131210299,1.0,0.96913062693011
87,Isotropic,30,4,4,0.010330171691471032,1.0,0.9686727931883964
87,Isotropic,30,4,5,0.008112533815813994,1.0,0.9689524449936728
87,Isotropic,30,4,6,0.010823050100371913,1.0,0.9688647677122488
87,Isotropic,30,4,7,0.0086302491031772,1.0,0.9694909738455396
87,Isotropic,30,4,8,0.010322119548595694,1.0,0.9689849594242632
87,Isotropic,30,4,9,0.009779226483655236,1.0,0.9695637485513788
87,Isotropic,30,8,0,0.007559390048833863,1.0,0.9694046759976752
87,Isotropic,30,8,1,0.008239802425145439,1.0,0.9688846712740804
87,Isotropic,30,8,2,0.008278515258948632,1.0,0.9688159307814492
