seed,severity,scenario,method,tracking,effort,peak_rate,feasible,switches,rho
11,moderate,shifted_double_lane,LTI_5,0.029004506110361924,0.7623572790591491,20.365482538259478,1.0,6.0,0.9662856584687239
11,moderate,shifted_double_lane,LTI_8,0.028140590409644537,0.7624359901706911,9.336088558480142,1.0,10.0,0.9662642311632343
11,moderate,shifted_double_lane,LTI_10,0.02677450133896999,0.7624023124357052,7.21654651818572,1.0,12.0,0.9662934209836377
11,moderate,constant_22,M4,0.022172864458195204,0.6350744491487542,1.9181219224561312,1.0,0.0,0.9664057472476054
11,moderate,constant_22,LTI_1,0.021555248223966515,0.6346208111085928,1.916609176256801,1.0,0.0,0.9657640777931242
11,moderate,constant_22,LTI_2,0.021523535158872016,0.6346997575407407,1.9168756632899577,1.0,0.0,0.9656767107015235
11,moderate,constant_22,LTI_3,0.025755867942025504,0.6356066530894655,1.9198753904844987,1.0,0.0,0.9660734104962078
11,moderate,constant_22,LTI_5,0.021858215476329858,0.6349681816499948,1.9177744991562544,1.0,0.0,0.9662856584687239
11,moderate,constant_22,LTI_8,0.023028626443078754,0.6352485381076499,1.9187029102828868,1.0,0.0,0.9662642311632343
11,moderate,constant_22,LTI_10,0.02175057554972847,0.634923188491238,1.9176245585810259,1.0,0.0,0.9662934209836377
11,strong,all,M4,0.04533712546732743,1.2020555927364043,3.371731247583479,1.0,0.0,0.9664057472476054
11,strong,all,LTI_1,0.05035018724843251,1.2010316442617393,3.3408934302160875,1.0,0.0,0.9657640777931242
11,strong,all,LTI_2,0.052673575035258324,1.2018699374483894,50.64154084963939,1.0,1.3333333333333333,0.9656767107015235
11,strong,all,LTI_3,0.0529759955216159,1.2024520696916303,45.24556781099786,1.0,2.3333333333333335,0.9660734104962078
11,strong,all,LTI_5,0.05409803456825713,1.2025511863954779,58.799195813401575,1.0,4.333333333333333,0.9662856584687239
11,strong,all,LTI_8,0.047780095080533595,1.2020038175428072,57.22291855921781,1.0,6.666666666666667,0.9662642311632343
11,strong,all,LTI_10,0.046094139267553944,1.202021877384337,21.130088974181803,1.0,8.0,0.9662934209836377
11,strong,previous_s_curve,M4,0.05687539278818748,1.4855745366558617,3.371731247583479,1.0,0.0,0.9664057472476054
11,strong,previous_s_curve,LTI_1,0.06822217971930285,1.4825094176641078,3.3408934302160875,1.0,0.0,0.9657640777931242
11,strong,previous_s_curve,LTI_2,0.07229873759843566,1.4849977556441312,50.64154084963939,1.0,2.0,0.9656767107015235
11,strong,previous_s_curve,LTI_3,0.07164054908661793,1.4863784187531957,45.24556781099786,1.0,4.0,0.9660734104962078
11,strong,previous_s_curve,LTI_5,0.0804769444056949,1.4872984089434829,58.799195813401575,1.0,7.0,0.9662856584687239
11,strong,previous_s_curve,LTI_8,0.0594858805434116,1.4850719839124134,57.22291855921781,1.0,10.0,0.9662642311632343
11,strong,previous_s_curve,LTI_10,0.05911102910058977,1.4857042275121368,21.130088974181803,1.0,12.0,0.9662934209836377
11,strong,shifted_double_lane,M4,0.04485398088179098,1.1613204508464496,2.9279960089033246,1.0,0.0,0.9664057472476054
11,strong,shifted_double_lane,LTI_1,0.04949978211984233,1.162027753448271,2.928940306383726,1.0,0.0,0.9657640777931242
11,strong,shifted_double_lane,LTI_2,0.05243320212624668,1.1619295754660466,22.238187706398175,1.0,2.0,0.9656767107015235
11,strong,shifted_double_lane,LTI_3,0.04760969533162944,1.1608684689850561,42.33053973720056,1.0,3.0,0.9660734104962078
11,strong,shifted_double_lane,LTI_5,0.048003891381108686,1.1612493879828547,31.843703670673754,1.0,6.0,0.9662856584687239
11,strong,shifted_double_lane,LTI_8,0.0482719584563649,1.1613925811534453,14.461559238674916,1.0,10.0,0.9662642311632343
11,strong,shifted_double_lane,LTI_10,0.04552276971649874,1.1613265204293841,10.975305837277663,1.0,12.0,0.9662934209836377
11,strong,constant_22,M4,0.034282002732003845,0.9592717907069013,2.8831388203172987,1.0,0.0,0.9664057472476054
11,strong,constant_22,LTI_1,0.03332859990615233,0.9585577616728387,2.8809708944513788,1.0,0.0,0.9657640777931242
11,strong,constant_22,LTI_2,0.03328878538109264,0.9586824812349904,2.8813504776391845,1.0,0.0,0.9656767107015235
11,strong,constant_22,LTI_3,0.03967774214660034,0.9601093213366386,2.88565168293769,1.0,0.0,0.9660734104962078
11,strong,constant_22,LTI_5,0.03381326791796778,0.9591057622600963,2.882634472670025,1.0,0.0,0.9662856584687239
