gamma,low,high,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible,rho
1.0,18,22,near_linear,M1,0.01605692707637868,0.0004321834557502942,0.01863502843857939,0.40215893347067266,1.1135782249037782,1.0,0.9515940210929597
1.0,18,22,near_linear,M2,0.014075795788922162,0.0002490194363618573,0.014827616239640285,0.40219872104054744,1.121940432225387,1.0,0.9565667504106364
1.0,18,22,near_linear,M3,0.015909030407521094,0.0004201467076265586,0.018094867457717413,0.4021047309337826,1.1148864175591815,1.0,0.9531442759045216
1.0,18,22,near_linear,M4,0.013890333486505303,0.00021516658830901845,0.01463255142904889,0.4021483186525911,1.1236437628032971,1.0,0.9573725593866784
1.0,18,22,strong,M1,0.0535851185874871,0.0013753316810108174,0.062729480497514,1.2238077428633005,3.3895363687368336,1.0,0.9515940210929597
1.0,18,22,strong,M2,0.04738109681342661,0.000839726620215909,0.0498611544358308,1.223944745766127,3.4143030815193365,1.0,0.9565667504106364
1.0,18,22,strong,M3,0.05313656858671467,0.001338278757410191,0.061088915292077474,1.2236273903396981,3.3936210924352053,1.0,0.9531442759045216
1.0,18,22,strong,M4,0.04684233012036757,0.0007382439717221441,0.04925027051364801,1.22377710405523,3.419561182813062,1.0,0.9573725593866784
1.5,10,30,moderate,M1,0.045788187361612116,0.0011070552161416788,0.057658153680990344,0.8282738065298224,2.4585107479784125,1.0,0.9650953864635404
1.5,10,30,moderate,M2,0.03653214318457033,0.0008292256719483641,0.0377808465963533,0.8282136753198335,2.4822021842120465,1.0,0.9693046039674624
1.5,10,30,moderate,M3,0.03865022752946968,0.0012052256343654494,0.046849049130676265,0.827879020878739,2.469766273242174,1.0,0.9680203836432614
1.5,10,30,moderate,M4,0.027401788140245277,0.0006429655802448834,0.028794179808767723,0.827897761173648,2.498894845368881,1.0,0.9707095590555844
1.5,10,30,near_linear,M1,0.022190229119330836,0.0005367261874347126,0.027810294727375506,0.4113601652074374,1.2130571872507367,1.0,0.9650953864635404
1.5,10,30,near_linear,M2,0.01777854936738507,0.0004006142421910551,0.018420694673682368,0.41132969456296953,1.224219005519004,1.0,0.9693046039674624
1.5,10,30,near_linear,M3,0.01858363985011832,0.0005880704350827499,0.022438852678358663,0.4111840815473452,1.2186313327058829,1.0,0.9680203836432614
1.5,10,30,near_linear,M4,0.013125623086715698,0.00031081144786585863,0.01382200813755983,0.4111892162879247,1.232422629210013,1.0,0.9707095590555844
1.5,10,30,strong,M1,0.07343505240731026,0.0017510585337071358,0.09326286669096649,1.2570639002752357,3.7722504194818858,1.0,0.9650953864635404
1.5,10,30,strong,M2,0.058554300638214776,0.001332755716121906,0.06044010834507476,1.2570018241959113,3.810113399636613,1.0,0.9693046039674624
1.5,10,30,strong,M3,0.06282246094618114,0.0018862340778421879,0.07682344335278066,1.2563508230710236,3.789783052452722,1.0,0.9680203836432614
1.5,10,30,strong,M4,0.045297853004332436,0.0010447776620649651,0.047429922593223366,1.2564285694767787,3.835963936395485,1.0,0.9707095590555844
1.5,15,25,moderate,M1,0.04000088113116405,0.001084421551122419,0.04893171217398354,0.8244717337185525,2.422616811184444,1.0,0.9565103444756164
1.5,15,25,moderate,M2,0.03097551254004351,0.000652780379753731,0.0325642497140793,0.8245725344820393,2.449378457702778,1.0,0.9635898464541016
1.5,15,25,moderate,M3,0.0381947717845305,0.001073773042624499,0.04481030517540259,0.8242033927433534,2.4288953127812967,1.0,0.9603964345839212
1.5,15,25,moderate,M4,0.02855309353441975,0.0005217127824279152,0.03035623981179228,0.8243470424283066,2.4586662659165635,1.0,0.9647673586316128
1.5,15,25,near_linear,M1,0.019335479742135286,0.0005299111968020084,0.023554211278451132,0.4098059652891598,1.19898587125145,1.0,0.9565103444756164
