seed,gamma,low,high,severity,method,tracking,steering_rms,peak_steering_rate,feasible,worst_family,rho
21,1.0,15,25,strong,M2,0.0483610226886325,1.2055033086150386,3.362910135530429,1.0,0.05075671759972156,0.96092772003055
21,1.0,15,25,strong,M3,0.05240141102232081,1.205091957841869,3.3462917317274923,1.0,0.060354694637273235,0.9595164609726852
21,1.0,15,25,strong,M4,0.044978665149717705,1.2051495337302687,3.375073044623773,1.0,0.04764978403550404,0.9623054354654826
21,1.0,18,22,moderate,M1,0.03283619622745626,0.8002610711826522,2.201123595114633,1.0,0.03788024976618442,0.9513636128100976
21,1.0,18,22,moderate,M2,0.02851095491112933,0.8003202981979209,2.21932834694189,1.0,0.030437759650897518,0.9560466278332228
21,1.0,18,22,moderate,M3,0.03255310061989677,0.800149486738283,2.203733701275075,1.0,0.03684165954211657,0.9523871434595615
21,1.0,18,22,moderate,M4,0.028184845117676504,0.8002175923355918,2.2227522136149447,1.0,0.0300942693730975,0.9568994679932284
21,1.0,18,22,near_linear,M1,0.01584060090690126,0.39811115081314413,1.095024748953058,1.0,0.018216364270137102,0.9513636128100976
21,1.0,18,22,near_linear,M2,0.013720976967934471,0.39814008974222886,1.1037246883654497,1.0,0.014654289943532104,0.9560466278332228
21,1.0,18,22,near_linear,M3,0.015698838106179704,0.3980573996792806,1.0963011981983943,1.0,0.017699570884550504,0.9523871434595615
21,1.0,18,22,near_linear,M4,0.013554420328853014,0.3980906090500016,1.105402895792621,1.0,0.01448439720727074,0.9568994679932284
21,1.0,18,22,strong,M1,0.052861718948160344,1.2110708655989761,3.3216043899984418,1.0,0.06138435873077563,0.9513636128100976
21,1.0,18,22,strong,M2,0.046189750341519904,1.2111682939829753,3.3503048159122577,1.0,0.04925507047638791,0.9560466278332228
21,1.0,18,22,strong,M3,0.052428987329465826,1.2108921455702648,3.3255107609223558,1.0,0.059808468264064135,0.9523871434595615
21,1.0,18,22,strong,M4,0.045706313650169327,1.211003815673783,3.355434452116557,1.0,0.04871795036419881,0.9568994679932284
21,1.5,10,30,moderate,M1,0.045503710564070945,0.8191124130307401,2.4148979354401945,1.0,0.05680397531530353,0.9645072697091728
21,1.5,10,30,moderate,M2,0.03559632416796584,0.8189968260543493,2.4389124992056828,1.0,0.037305457859874526,0.96917039919842
21,1.5,10,30,moderate,M3,0.03830593887901408,0.818721970568815,2.425860350782984,1.0,0.04593237538579996,0.9678173597273756
21,1.5,10,30,moderate,M4,0.02651229298783322,0.8186894300048105,2.4552808181353245,1.0,0.028192817311507887,0.970596295843499
21,1.5,10,30,near_linear,M1,0.0220513869376178,0.40687170975056963,1.1922916565690824,1.0,0.027391254090795347,0.9645072697091728
21,1.5,10,30,near_linear,M2,0.017329069715598677,0.4068154183662207,1.2036220863768623,1.0,0.01825968453618103,0.96917039919842
21,1.5,10,30,near_linear,M3,0.018416798635132473,0.40669747640860543,1.1979295156267775,1.0,0.021988605155825822,0.9678173597273756
21,1.5,10,30,near_linear,M4,0.012699931251418741,0.4066787306005399,1.2116702247197912,1.0,0.013537780495302796,0.970596295843499
21,1.5,10,30,strong,M1,0.07297141466751778,1.242818701443109,3.700362004169872,1.0,0.0919206323220538,0.9645072697091728
21,1.5,10,30,strong,M2,0.057027524491941345,1.2426632028347744,3.7385838385182217,1.0,0.059183891889467426,0.96917039919842
21,1.5,10,30,strong,M3,0.06226232017933918,1.2421142058941979,3.7173973363584447,1.0,0.07538537845679395,0.9678173597273756
21,1.5,10,30,strong,M4,0.043837970997856086,1.2421054946520658,3.763871443024448,1.0,0.04638557629611972,0.970596295843499
21,1.5,15,25,moderate,M1,0.039653163638068124,0.8156596190088302,2.382333700172956,1.0,0.04800619203617491,0.9563431771218212
21,1.5,15,25,moderate,M2,0.030146732741145217,0.8157157650521836,2.40955478292427,1.0,0.03199724983713339,0.9633363521716324
21,1.5,15,25,moderate,M3,0.03782990047258877,0.8153930558277828,2.388447956677928,1.0,0.043914662762531205,0.959586810957326
21,1.5,15,25,moderate,M4,0.02777611701657171,0.8154949500912951,2.418676159959025,1.0,0.029935276949718863,0.9645458721532894
