seed,mechanism,cohort,epsilon,draw,tracking,feasible,rho
83,Tight-100,100,2,2,0.00807236795632412,1.0,0.9685795234065296
83,Tight-100,100,2,3,0.008783612368686857,1.0,0.968559188054875
83,Tight-100,100,2,4,0.00842887270202611,1.0,0.9679742533972188
83,Tight-100,100,2,5,0.009595003589477354,1.0,0.9688120311205606
83,Tight-100,100,2,6,0.009163709601708972,1.0,0.9677214039971032
83,Tight-100,100,2,7,0.008452088363156205,1.0,0.9687137757375388
83,Tight-100,100,2,8,0.008671413591452674,1.0,0.9681514279706154
83,Tight-100,100,2,9,0.008319129485729632,1.0,0.968351745729974
83,Tight-100,100,4,0,0.008114362038049343,1.0,0.9682932617909336
83,Tight-100,100,4,1,0.008178437546553381,1.0,0.9682562693174238
83,Tight-100,100,4,2,0.008535579150507898,1.0,0.9677771620437176
83,Tight-100,100,4,3,0.007948181486628254,1.0,0.9683614179433148
83,Tight-100,100,4,4,0.00801458050880265,1.0,0.9682645696130552
83,Tight-100,100,4,5,0.008030340821959319,1.0,0.9682641373755408
83,Tight-100,100,4,6,0.007873596701405337,1.0,0.9686376409272468
83,Tight-100,100,4,7,0.008081987517949437,1.0,0.9683292861184484
83,Tight-100,100,4,8,0.007904831961773202,1.0,0.9683664497912852
83,Tight-100,100,4,9,0.008031575251918693,1.0,0.9687618878778792
83,Tight-100,100,8,0,0.00827780179194977,1.0,0.968194903262702
83,Tight-100,100,8,1,0.008196075741387285,1.0,0.968211579009023
83,Tight-100,100,8,2,0.00797492706387963,1.0,0.9683916539669242
83,Tight-100,100,8,3,0.008163602005772133,1.0,0.9683058062313916
83,Tight-100,100,8,4,0.007927693112371107,1.0,0.9684328787415956
83,Tight-100,100,8,5,0.008109452759694267,1.0,0.9682792880164848
83,Tight-100,100,8,6,0.008009296732615936,1.0,0.9681957984515998
83,Tight-100,100,8,7,0.007959497149773414,1.0,0.968334537312918
83,Tight-100,100,8,8,0.008249066289610054,1.0,0.9682803664955104
83,Tight-100,100,8,9,0.008125257463500868,1.0,0.9682702414373916
83,Tight-100,100,inf,0,0.008087713921999851,1.0,0.9683019637890148
83,Tight-30,30,2,0,0.015169237739278633,1.0,0.9642330974672448
83,Tight-30,30,2,1,0.008860773781573104,1.0,0.9674635065918674
83,Tight-30,30,2,2,0.009626836492495053,1.0,0.9681948003776742
83,Tight-30,30,2,3,0.01477388178183875,1.0,0.9697174570463016
83,Tight-30,30,2,4,0.008618653792196748,1.0,0.9687169057059318
83,Tight-30,30,2,5,0.008770492599350676,1.0,0.96891965671018
83,Tight-30,30,2,6,0.009862571809062373,1.0,0.9674240609542192
83,Tight-30,30,2,7,0.008238624029750265,1.0,0.9689158126500662
83,Tight-30,30,2,8,0.01048099379307245,1.0,0.9692988540626352
83,Tight-30,30,2,9,0.009208860326395759,1.0,0.9698440102657412
83,Tight-30,30,4,0,0.008999941262756862,1.0,0.9681768599181116
83,Tight-30,30,4,1,0.008762908644047376,1.0,0.9677736113595437
83,Tight-30,30,4,2,0.007989463121364199,1.0,0.9683534590536887
83,Tight-30,30,4,3,0.01008879842251011,1.0,0.9693870003601728
83,Tight-30,30,4,4,0.010194247602052744,1.0,0.9686301354539424
83,Tight-30,30,4,5,0.011933172970651726,1.0,0.9667288645973624
83,Tight-30,30,4,6,0.010137619741803036,1.0,0.9687109533142384
83,Tight-30,30,4,7,0.008568010560210738,1.0,0.9680237899814648
83,Tight-30,30,4,8,0.008908411999466227,1.0,0.968153336156424
83,Tight-30,30,4,9,0.010701573511991138,1.0,0.9692517373097668
83,Tight-30,30,8,0,0.008181841891387135,1.0,0.9686177146002164
83,Tight-30,30,8,1,0.00803844077585611,1.0,0.968212779441458
83,Tight-30,30,8,2,0.008076751024102045,1.0,0.9681751302679578
83,Tight-30,30,8,3,0.008718773525913631,1.0,0.967926158204695
83,Tight-30,30,8,4,0.008412621654230892,1.0,0.96899244025123
83,Tight-30,30,8,5,0.007821642066822588,1.0,0.9684238526385668
83,Tight-30,30,8,6,0.009343394468223496,1.0,0.9686594055910264
83,Tight-30,30,8,7,0.008368130226230383,1.0,0.9684267631359144
83,Tight-30,30,8,8,0.008157472693709152,1.0,0.968765912846166
83,Tight-30,30,8,9,0.00851403114013061,1.0,0.9680212233212993
83,Tight-30,30,inf,0,0.008049386372713562,1.0,0.9682578761156376
84,Broad-10,10,2,0,0.2276651747156813,1.0,0.9824705433037724
84,Broad-10,10,2,1,0.16879179385848295,1.0,0.97888411357954
84,Broad-10,10,2,2,0.4300062990870703,1.0,0.9729968884618097
84,Broad-10,10,2,3,0.7707521392539556,1.0,0.9885553965815176
84,Broad-10,10,2,4,0.8238591054644115,1.0,0.9815839880215936
84,Broad-10,10,2,5,0.09282639810163658,1.0,0.974272229318617
84,Broad-10,10,2,6,0.06515319625481675,1.0,0.9738588709420516
84,Broad-10,10,2,7,0.5941522888394527,1.0,0.9805106704507056
84,Broad-10,10,2,8,0.3423530825873502,1.0,0.9797414271922672
84,Broad-10,10,2,9,0.30420037009391376,1.0,0.9975560050618733
84,Broad-10,10,4,0,0.05053058080837463,1.0,0.9774883120957756
84,Broad-10,10,4,1,0.07072687389346141,1.0,0.9754702887027784
84,Broad-10,10,4,2,0.1361392803050961,1.0,0.972254385502406
