family,speed_mps,stable_continuous,max_pole_real_per_s,pole_imag_magnitude_per_s,discrete_spectral_radius,controllability_rank,controllability_sigma_min,yaw_rate_dc_gain_per_s,beta_dc_gain,understeer_coefficient_s2_per_m,a_norm,b_norm
heavy,12.7,True,-8.018076001369394,2.810196392830755,0.9229494989433491,2,3.8807838905949863,3.966027861258094,0.0341976496162481,0.002493622448979592,1.3074573224385002,0.3255826888084467
heavy,12.8,True,-7.955434782608695,2.813433000045796,0.9235278268749544,2,3.91747051784169,3.9893346359732145,0.026785532555819638,0.002493622448979592,1.3082752009689773,0.32564537435578994
heavy,12.9,True,-7.8937647455342095,2.816591038436116,0.9240975424820382,2,3.9540765073619397,4.0124869692664635,0.019344947298914734,0.002493622448979592,1.3090809097612528,0.3257073601650265
heavy,13.0,True,-7.833043478260871,2.8196730637030267,0.924658836615885,2,3.990602948717076,4.035484707563961,0.011876409321367992,0.002493622448979592,1.3098747182785988,0.3257686563914847
heavy,13.1,True,-7.773249253235978,2.822681527063092,0.9252118945332332,2,4.027050895275529,4.058327712847393,0.004380432580732416,0.002493622448979592,1.3106568880918925,0.32582927305442355
heavy,13.2,True,-7.7143610013175214,2.825618780404466,0.9257568960996633,2,4.063421365580747,4.0810158625199895,-0.0031424705478173233,0.002493622448979592,1.311427673166295,0.32588922003594045
heavy,13.3,True,-7.656358287021904,2.828487081144504,0.9262940159841774,2,4.099715344659566,4.1035490492705495,-0.010691789334436642,0.002493622448979592,1.3121873201355339,0.3259485070801941
heavy,13.4,True,-7.599221284879948,2.831288596808529,0.9268234238454189,2,4.135933785273911,4.12592718093559,-0.018267014756425982,0.002493622448979592,1.3129360685644074,0.3260071437929128
heavy,13.5,True,-7.542930756843802,2.8340254093481803,0.927345284509946,2,4.172077609118725,4.148150180359681,-0.02586763955890586,0.002493622448979592,1.313674151200097,0.3260651396411615
heavy,13.6,True,-7.487468030690538,2.8366995192163604,0.927859758142952,2,4.2081477079688145,4.170217985254049,-0.03349315831434099,0.002493622448979592,1.31440179421284,0.3261225039533436
heavy,13.7,True,-7.432814979371628,2.8393128492145676,0.9283670004118002,2,4.244144944777022,4.192130548053508,-0.041143067480918026,0.002493622448979592,1.3151192174264854,0.32617924591941316
heavy,13.8,True,-7.378954001260239,2.8418672481272083,0.9288671626427286,2,4.280070154726253,4.213887835771792,-0.04881686545977504,0.002493622448979592,1.3158266345394227,0.32623537459127716
heavy,13.9,True,-7.325868001251172,2.844364494156457,0.9293603919710508,2,4.315924146237422,4.235489829855357,-0.05651405265107638,0.002493622448979592,1.3165242533363513,0.32629089888337093
heavy,14.0,True,-7.273540372670808,2.846806298170236,0.929846831485166,2,4.351707701935597,4.256936526035728,-0.06423413150893154,0.002493622448979592,1.3172122758913303,0.32634582757338515
heavy,14.100000000000001,True,-7.221954979956829,2.8491943067749914,0.9303266203646755,2,4.3874215795761975,4.278227934180449,-0.07197660659516403,0.002493622448979592,1.3178908987625215,0.32640016930313237
heavy,14.2,True,-7.1710961420698105,2.851530105224122,0.9307998940128838,2,4.423066512933233,4.299364078142704,-0.07974098463192046,0.002493622448979592,1.3185603131790244,0.3264539325795355
heavy,14.3,True,-7.120948616600791,2.853815220172163,0.9312667841839489,2,4.458643212651475,4.320344995609693,-0.08752677455313279,0.002493622448979592,1.31922070522017,0.32650712577572705
heavy,14.4,True,-7.0714975845410635,2.8560511222841,0.9317274191049314,2,4.494152367063933,4.341170737949805,-0.09533348755481923,0.002493622448979592,1.3198722559876286,0.32655975713224533
heavy,14.5,True,-7.02272863568216,2.8582392287085763,0.9321819235929816,2,4.52959464297667,4.361841370058672,-0.10316063714423719,0.002493622448979592,1.3205151417706633,0.32661183475831707
heavy,14.600000000000001,True,-6.974627754615842,2.8603809054231397,0.9326304191678849,2,4.5649706864221065,4.382356970204154,-0.11100773918789036,0.002493622448979592,1.3211495342048507,0.32666336663321516
heavy,14.7,True,-6.92718130730553,2.8624774694591135,0.9330730241601844,2,4.600281123382459,4.4027176298703425,-0.11887431195837649,0.002493622448979592,1.3217756004245589,0.3267143606076841
heavy,14.8,True,-6.8803760282021145,2.864530191013207,0.9335098538150759,2,4.635526560484717,4.422923453600624,-0.12675987618009976,0.002493622448979592,1.3223935032094765,0.32676482440542287
heavy,14.9,True,-6.8341990078786115,2.866540295452452,0.9339410203922718,2,4.670707585668179,4.44297455883987,-0.13466395507383544,0.002493622448979592,1.3230034011254548,0.3268147656246168
heavy,15.0,True,-6.78863768115942,2.8685089652186675,0.9343666332620095,2,4.705824768826244,4.4628710757758325,-0.1425860744001591,0.002493622448979592,1.3236054486599222,0.32686419173951403
heavy,15.100000000000001,True,-6.743679815721277,2.8704373416382247,0.9347867989973864,2,4.7408786624230075,4.482613147179783,-0.15052576250173885,0.002493622448979592,1.324199796352114,0.32691311010203644
heavy,15.2,True,-6.6993135011441645,2.872326526642499,0.9352016214631707,2,4.7758698020864605,4.5022009282464746,-0.1584825503444962,0.002493622448979592,1.3247865909183432,0.32696152794342204
heavy,15.3,True,-6.655527138391589,2.8741775844040838,0.9356112019012568,2,4.810798707178764,4.521634586433486,-0.16645597155764025,0.002493622448979592,1.3253659753725355,0.32700945237589174
heavy,15.4,True,-6.612309429700733,2.8759915428934786,0.9360156390129049,2,4.845665881344948,4.540914301299984,-0.17444556247258713,0.002493622448979592,1.3259380891422354,0.3270568903943354
