seed,phase,point,policy,cohort,condition,mu,epsilon,method,draw,tracking,feasible,rho
96,A,map,balanced,50,correct,0.9,4,Isotropic,3,0.008816530476825936,1.0,0.9684798965961606
96,A,map,balanced,50,correct,0.9,4,Isotropic,4,0.008541709315838947,1.0,0.9678511486177472
96,A,map,balanced,50,correct,0.9,8,ControlAware,0,0.008154885005399405,1.0,0.9680657921261512
96,A,map,balanced,50,correct,0.9,8,ControlAware,1,0.008026755561541756,1.0,0.968199486315875
96,A,map,balanced,50,correct,0.9,8,ControlAware,2,0.008184168369136095,1.0,0.9680183497755684
96,A,map,balanced,50,correct,0.9,8,ControlAware,3,0.007942214945508112,1.0,0.968414417378375
96,A,map,balanced,50,correct,0.9,8,ControlAware,4,0.007848939320092407,1.0,0.9682721873194744
96,A,map,balanced,50,correct,0.9,8,Isotropic,0,0.008248200116988643,1.0,0.9679969229175168
96,A,map,balanced,50,correct,0.9,8,Isotropic,1,0.00803190193191581,1.0,0.9681622332642348
96,A,map,balanced,50,correct,0.9,8,Isotropic,2,0.008255641486965368,1.0,0.9679143566357716
96,A,map,balanced,50,correct,0.9,8,Isotropic,3,0.007951054801,1.0,0.9684261312233756
96,A,map,balanced,50,correct,0.9,8,Isotropic,4,0.007880291739738808,1.0,0.9682621057374932
96,A,map,balanced,50,correct,0.9,inf,ControlAware,0,0.007992153717651704,1.0,0.9683130790322002
96,A,map,balanced,50,correct,0.9,inf,Isotropic,0,0.007992153717651704,1.0,0.9683130790322002
96,A,map,balanced,100,correct,0.9,2,ControlAware,0,0.008129557734308459,1.0,0.9685310077914916
96,A,map,balanced,100,correct,0.9,2,ControlAware,1,0.008084005109267543,1.0,0.9687841271260392
96,A,map,balanced,100,correct,0.9,2,ControlAware,2,0.00807191782648236,1.0,0.9683369057396238
96,A,map,balanced,100,correct,0.9,2,ControlAware,3,0.007876214990268667,1.0,0.968431794013088
96,A,map,balanced,100,correct,0.9,2,ControlAware,4,0.008228490471538749,1.0,0.9678838842694688
96,A,map,balanced,100,correct,0.9,2,Isotropic,0,0.008399616993767024,1.0,0.968585746019452
96,A,map,balanced,100,correct,0.9,2,Isotropic,1,0.008176407646179839,1.0,0.9688924176724216
96,A,map,balanced,100,correct,0.9,2,Isotropic,2,0.008111378639753279,1.0,0.9683943009545888
96,A,map,balanced,100,correct,0.9,2,Isotropic,3,0.007852287063470988,1.0,0.9685057527954676
96,A,map,balanced,100,correct,0.9,2,Isotropic,4,0.008388908181919471,1.0,0.9677955075136808
96,A,map,balanced,100,correct,0.9,4,ControlAware,0,0.007841395383925441,1.0,0.9685984218947874
96,A,map,balanced,100,correct,0.9,4,ControlAware,1,0.007912947035500082,1.0,0.9682658286812889
96,A,map,balanced,100,correct,0.9,4,ControlAware,2,0.00810662389346764,1.0,0.9684272892056978
96,A,map,balanced,100,correct,0.9,4,ControlAware,3,0.00797351389485936,1.0,0.9685843012279952
96,A,map,balanced,100,correct,0.9,4,ControlAware,4,0.00788076157258328,1.0,0.9682842953756796
96,A,map,balanced,100,correct,0.9,4,Isotropic,0,0.007837602277004157,1.0,0.9686499825946472
96,A,map,balanced,100,correct,0.9,4,Isotropic,1,0.00792481236596861,1.0,0.9682636135814324
96,A,map,balanced,100,correct,0.9,4,Isotropic,2,0.008192106092908621,1.0,0.9684420928096392
96,A,map,balanced,100,correct,0.9,4,Isotropic,3,0.008017525272435119,1.0,0.9686476353772476
96,A,map,balanced,100,correct,0.9,4,Isotropic,4,0.007873442245597235,1.0,0.9682703760358308
96,A,map,balanced,100,correct,0.9,8,ControlAware,0,0.007923104992152636,1.0,0.9683574750624282
96,A,map,balanced,100,correct,0.9,8,ControlAware,1,0.007825769351089116,1.0,0.968487320942936
96,A,map,balanced,100,correct,0.9,8,ControlAware,2,0.007973712185858618,1.0,0.9681872944886136
96,A,map,balanced,100,correct,0.9,8,ControlAware,3,0.0079053456976886,1.0,0.9683685604806408
96,A,map,balanced,100,correct,0.9,8,ControlAware,4,0.00798667900726923,1.0,0.9683503851465228
96,A,map,balanced,100,correct,0.9,8,Isotropic,0,0.007910044745429294,1.0,0.9683798815616772
96,A,map,balanced,100,correct,0.9,8,Isotropic,1,0.007808760128817675,1.0,0.9685294712079824
96,A,map,balanced,100,correct,0.9,8,Isotropic,2,0.007976394743483868,1.0,0.9681563530108276
96,A,map,balanced,100,correct,0.9,8,Isotropic,3,0.007909926111678034,1.0,0.9684007722969684
96,A,map,balanced,100,correct,0.9,8,Isotropic,4,0.008005369670353504,1.0,0.9683476000178872
96,A,map,balanced,100,correct,0.9,inf,ControlAware,0,0.007947115998733337,1.0,0.9682924329249178
96,A,map,balanced,100,correct,0.9,inf,Isotropic,0,0.007947115998733337,1.0,0.9682924329249178
96,A,map,biased-low-speed,10,correct,0.9,2,ControlAware,0,0.02531949546977684,1.0,0.971815955900909
96,A,map,biased-low-speed,10,correct,0.9,2,ControlAware,1,0.02089293883186164,1.0,0.9693763008593962
96,A,map,biased-low-speed,10,correct,0.9,2,ControlAware,2,0.01645681717977518,1.0,0.969717216226206
96,A,map,biased-low-speed,10,correct,0.9,2,ControlAware,3,0.025868385366561837,1.0,0.968011024931594
96,A,map,biased-low-speed,10,correct,0.9,2,ControlAware,4,0.03301300773763642,1.0,0.9651931274478416
96,A,map,biased-low-speed,10,correct,0.9,2,Isotropic,0,0.026871620854458707,1.0,0.971807667351964
96,A,map,biased-low-speed,10,correct,0.9,2,Isotropic,1,0.025053240387006973,1.0,0.9694346176742068
96,A,map,biased-low-speed,10,correct,0.9,2,Isotropic,2,0.01898534280821798,1.0,0.9701586685350432
96,A,map,biased-low-speed,10,correct,0.9,2,Isotropic,3,0.028205058741058952,1.0,0.9679991456906194
96,A,map,biased-low-speed,10,correct,0.9,2,Isotropic,4,0.03672138713598109,1.0,0.9641649313850356
96,A,map,biased-low-speed,10,correct,0.9,4,ControlAware,0,0.014109627632923555,1.0,0.967025051288012
96,A,map,biased-low-speed,10,correct,0.9,4,ControlAware,1,0.019785943216229358,1.0,0.9706389383717848
96,A,map,biased-low-speed,10,correct,0.9,4,ControlAware,2,0.017584449146951637,1.0,0.9716166343501174
96,A,map,biased-low-speed,10,correct,0.9,4,ControlAware,3,0.012811250403294292,1.0,0.9693990569327228
96,A,map,biased-low-speed,10,correct,0.9,4,ControlAware,4,0.01002093608021505,1.0,0.9692404185965404
96,A,map,biased-low-speed,10,correct,0.9,4,Isotropic,0,0.01599756548329892,1.0,0.9666893018798114
96,A,map,biased-low-speed,10,correct,0.9,4,Isotropic,1,0.02240063386185608,1.0,0.9710126208340968
96,A,map,biased-low-speed,10,correct,0.9,4,Isotropic,2,0.019108692902570314,1.0,0.9720390315176132
96,A,map,biased-low-speed,10,correct,0.9,4,Isotropic,3,0.014820245830573335,1.0,0.9696830220792904
96,A,map,biased-low-speed,10,correct,0.9,4,Isotropic,4,0.011045266106944842,1.0,0.9695821557241638
96,A,map,biased-low-speed,10,correct,0.9,8,ControlAware,0,0.008650836202060593,1.0,0.9679613533956232
96,A,map,biased-low-speed,10,correct,0.9,8,ControlAware,1,0.008239767795717168,1.0,0.9689505005576952
96,A,map,biased-low-speed,10,correct,0.9,8,ControlAware,2,0.010429729735545613,1.0,0.9701201062304164
96,A,map,biased-low-speed,10,correct,0.9,8,ControlAware,3,0.0091109745875119,1.0,0.96924939303573
96,A,map,biased-low-speed,10,correct,0.9,8,ControlAware,4,0.008624170594817791,1.0,0.9680992098105216
96,A,map,biased-low-speed,10,correct,0.9,8,Isotropic,0,0.008989603579010765,1.0,0.9680468553374212
96,A,map,biased-low-speed,10,correct,0.9,8,Isotropic,1,0.008378579273909193,1.0,0.9690890885882262
96,A,map,biased-low-speed,10,correct,0.9,8,Isotropic,2,0.011446621847747258,1.0,0.9705290111104932
96,A,map,biased-low-speed,10,correct,0.9,8,Isotropic,3,0.009616655579234069,1.0,0.9694939275629492
96,A,map,biased-low-speed,10,correct,0.9,8,Isotropic,4,0.008911133567565536,1.0,0.9682143433574674
96,A,map,biased-low-speed,10,correct,0.9,inf,ControlAware,0,0.008048302008288367,1.0,0.9681683083249584
96,A,map,biased-low-speed,10,correct,0.9,inf,Isotropic,0,0.00804830200828834,1.0,0.968168308324958
96,A,map,biased-low-speed,20,correct,0.9,2,ControlAware,0,0.013978464720826445,1.0,0.9648745967984176
96,A,map,biased-low-speed,20,correct,0.9,2,ControlAware,1,0.012221507942430626,1.0,0.9688599138365172
96,A,map,biased-low-speed,20,correct,0.9,2,ControlAware,2,0.01710858160416912,1.0,0.9684077267531076
96,A,map,biased-low-speed,20,correct,0.9,2,ControlAware,3,0.015397042211469696,1.0,0.9701306106570105
96,A,map,biased-low-speed,20,correct,0.9,2,ControlAware,4,0.011463328808806371,1.0,0.9680089277440408
96,A,map,biased-low-speed,20,correct,0.9,2,Isotropic,0,0.016398405476248164,1.0,0.9638294821211612
96,A,map,biased-low-speed,20,correct,0.9,2,Isotropic,1,0.013661644289296428,1.0,0.9689486333475336
96,A,map,biased-low-speed,20,correct,0.9,2,Isotropic,2,0.01838458338649101,1.0,0.9684886017469906
96,A,map,biased-low-speed,20,correct,0.9,2,Isotropic,3,0.017584818615918457,1.0,0.9704415333536658
96,A,map,biased-low-speed,20,correct,0.9,2,Isotropic,4,0.013189513916796241,1.0,0.967995786010384
96,A,map,biased-low-speed,20,correct,0.9,4,ControlAware,0,0.013420190065340298,1.0,0.9700672317103706
96,A,map,biased-low-speed,20,correct,0.9,4,ControlAware,1,0.00919916485981295,1.0,0.96848079131562
96,A,map,biased-low-speed,20,correct,0.9,4,ControlAware,2,0.008205952766846715,1.0,0.9682065377497956
96,A,map,biased-low-speed,20,correct,0.9,4,ControlAware,3,0.009936361902521645,1.0,0.9689471897386072
96,A,map,biased-low-speed,20,correct,0.9,4,ControlAware,4,0.012198502510021313,1.0,0.967774627816247
96,A,map,biased-low-speed,20,correct,0.9,4,Isotropic,0,0.01542691510793289,1.0,0.9704269748961576
96,A,map,biased-low-speed,20,correct,0.9,4,Isotropic,1,0.009672738604388163,1.0,0.968524047618402
96,A,map,biased-low-speed,20,correct,0.9,4,Isotropic,2,0.008228601525235591,1.0,0.9681811680110576
96,A,map,biased-low-speed,20,correct,0.9,4,Isotropic,3,0.010438361905398147,1.0,0.9690082801976606
96,A,map,biased-low-speed,20,correct,0.9,4,Isotropic,4,0.013317678153818563,1.0,0.9676220414256936
96,A,map,biased-low-speed,20,correct,0.9,8,ControlAware,0,0.008220993210219029,1.0,0.9682382347351076
96,A,map,biased-low-speed,20,correct,0.9,8,ControlAware,1,0.007918136885584418,1.0,0.9684976118023988
96,A,map,biased-low-speed,20,correct,0.9,8,ControlAware,2,0.00886878601852427,1.0,0.9682680015324068
96,A,map,biased-low-speed,20,correct,0.9,8,ControlAware,3,0.008953757723381903,1.0,0.9680692076778094
