seed,point,cohort,epsilon,method,draw,tracking,parameter_error,feasible,rho
108,shared-viable,50,4,ControlAwareDP,1,0.007683381629615934,0.08201498096174321,1.0,0.968292580379546
108,shared-viable,50,4,ControlAwareDP,2,0.008830281500052254,0.10295456918011134,1.0,0.9668942429747026
108,shared-viable,50,4,ControlAwareDP,3,0.008674629500012552,0.118945449179607,1.0,0.9670045582042964
108,shared-viable,50,4,ControlAwareDP,4,0.008606271494366798,0.17547759155423245,1.0,0.9676871391171687
108,shared-viable,50,4,ControlAwareDP,5,0.008116468977869646,0.07729223610663322,1.0,0.9676560874002478
108,shared-viable,50,4,ControlAwareDP,6,0.007813939709727177,0.08289590043714837,1.0,0.9680749423019231
108,shared-viable,50,4,ControlAwareDP,7,0.008361585127406269,0.07853313360055365,1.0,0.9673802332330946
108,shared-viable,50,4,ControlAwareDP,8,0.008237433613954456,0.09926026135732645,1.0,0.9683996242127682
108,shared-viable,50,4,ControlAwareDP,9,0.007835455457671033,0.11201219782606556,1.0,0.9679195392088132
108,shared-viable,50,4,FamilyNonPrivate,0,0.008022809735580637,0.05352830219473865,1.0,0.96774449467942
108,shared-viable,50,4,IsotropicDP,0,0.008249349366438308,0.06019263702299505,1.0,0.9674725266519232
108,shared-viable,50,4,IsotropicDP,1,0.007744227440156859,0.06514677182797879,1.0,0.9684266094542312
108,shared-viable,50,4,IsotropicDP,2,0.009235792561411073,0.06533955352515973,1.0,0.9667207666406182
108,shared-viable,50,4,IsotropicDP,3,0.008884991306394115,0.06395387428356102,1.0,0.966831325558223
108,shared-viable,50,4,IsotropicDP,4,0.008854837657822488,0.07719224801495175,1.0,0.9677238598225176
108,shared-viable,50,4,IsotropicDP,5,0.008189713654379331,0.058578485932863,1.0,0.96760482467667
108,shared-viable,50,4,IsotropicDP,6,0.007818903605349743,0.058557417012472926,1.0,0.9681416339043416
108,shared-viable,50,4,IsotropicDP,7,0.008441479197047547,0.060756025266554284,1.0,0.967319153920153
108,shared-viable,50,4,IsotropicDP,8,0.008339159115011532,0.06926719836981102,1.0,0.9685507718586572
108,shared-viable,50,4,IsotropicDP,9,0.007814733426155145,0.06718839908903705,1.0,0.96798957569063
108,shared-viable,50,4,Local,0,0.006716211795054939,0.018924969761237788,1.0,0.9680223754037718
109,discriminating,20,8,ControlAwareDP,0,0.009061349400119404,0.08932014589112848,1.0,0.9691646470689228
109,discriminating,20,8,ControlAwareDP,1,0.00894342330455287,0.13904591357304497,1.0,0.9690411261512472
109,discriminating,20,8,ControlAwareDP,2,0.009072129084020521,0.12502186668142606,1.0,0.9680419583272776
109,discriminating,20,8,ControlAwareDP,3,0.008674981366652014,0.1500375920726032,1.0,0.9676333878228688
109,discriminating,20,8,ControlAwareDP,4,0.009078628670680856,0.11990836239542955,1.0,0.9678990654241704
109,discriminating,20,8,ControlAwareDP,5,0.008158903025677053,0.14490188296148757,1.0,0.968354501415249
109,discriminating,20,8,ControlAwareDP,6,0.008141008972656377,0.16916633629430938,1.0,0.9683958177119456
109,discriminating,20,8,ControlAwareDP,7,0.008106483665699023,0.08331750520297329,1.0,0.9683871714272504
109,discriminating,20,8,ControlAwareDP,8,0.008141297115973712,0.13677448955736463,1.0,0.9683301995094832
109,discriminating,20,8,ControlAwareDP,9,0.008916269404842322,0.12139976978600474,1.0,0.968079757286382
109,discriminating,20,8,FamilyNonPrivate,0,0.008082570585083802,0.0516196386926784,1.0,0.9682766901648704
109,discriminating,20,8,IsotropicDP,0,0.009412424468099817,0.06782925918847706,1.0,0.9693385752307204
109,discriminating,20,8,IsotropicDP,1,0.009242006935776504,0.07691039152286744,1.0,0.9691592236929516
109,discriminating,20,8,IsotropicDP,2,0.009484721895319627,0.07498050969097138,1.0,0.967933461788049
109,discriminating,20,8,IsotropicDP,3,0.008941717966648284,0.07709305312912755,1.0,0.9674737192355888
109,discriminating,20,8,IsotropicDP,4,0.009480683941201665,0.0764430153442767,1.0,0.9678747106080664
109,discriminating,20,8,IsotropicDP,5,0.008276022840908765,0.07114494552551695,1.0,0.9683602999549692
109,discriminating,20,8,IsotropicDP,6,0.008233601539762178,0.06978532540898688,1.0,0.9684184500305556
109,discriminating,20,8,IsotropicDP,7,0.008093815419660727,0.06363304013224902,1.0,0.9684091815653112
109,discriminating,20,8,IsotropicDP,8,0.00812572343707287,0.060995815839965196,1.0,0.9683652024023462
