seed,test_seed,scenario,severity,method,client,family,tracking,peak_steering,peak_acceleration,peak_steering_rate,beta_rms,steering_rms,feasible
14,114,shifted_double_lane,moderate,M1,heavy_05,heavy,0.05496070351762669,1.5662390939462119,3.557429851735705,1.458526394658867,0.68849590335263,0.7270993772281794,1.0
14,114,shifted_double_lane,moderate,M1,heavy_06,heavy,0.050879934289879955,1.6262614975695011,3.565169565210223,1.5237483228315631,0.6556707642000172,0.7570797083402929,1.0
14,114,shifted_double_lane,moderate,M1,heavy_07,heavy,0.061684274802165893,1.504869002820006,3.5451859364945144,1.3986150279906648,0.7141531076629396,0.6943425082511118,1.0
14,114,shifted_double_lane,moderate,M1,heavy_08,heavy,0.07044597079471109,1.3920421074617426,3.5445313744163136,1.284791201466079,0.7220272807615147,0.634977969648403,1.0
14,114,shifted_double_lane,moderate,M1,heavy_09,heavy,0.05587950949923602,1.5710096015447592,3.555209782640533,1.4671521985798357,0.6833675614602279,0.7284863847262695,1.0
14,114,shifted_double_lane,moderate,M1,handling_00,handling,0.025169556197903918,2.0582312461781322,3.6633461135806438,1.938152459704927,0.431432164180672,0.9682385707817798,1.0
14,114,shifted_double_lane,moderate,M1,handling_01,handling,0.025798634691047942,1.814140827123414,3.658836759924884,1.7094898044235087,0.45709142292935323,0.8550430313524615,1.0
14,114,shifted_double_lane,moderate,M1,handling_02,handling,0.02322718537263493,1.9685977368885823,3.654410778034727,1.854970298813279,0.4611484077459022,0.9287713017167618,1.0
14,114,shifted_double_lane,moderate,M1,handling_03,handling,0.02341902109099167,1.898206147446037,3.664668769839877,1.7911794803988086,0.4394474192841485,0.8955336480132274,1.0
14,114,shifted_double_lane,moderate,M1,handling_04,handling,0.02394404216598459,1.8331975483299334,3.6682568910509423,1.7287244918017244,0.43698082359159834,0.8647232057543707,1.0
14,114,shifted_double_lane,moderate,M1,handling_05,handling,0.024185012573419803,1.9586941136545932,3.663910786487624,1.848094979584196,0.4330229636375674,0.9226201783384828,1.0
14,114,shifted_double_lane,moderate,M1,handling_06,handling,0.025321474481284214,1.9354474411964069,3.633982157314127,1.8267768798382544,0.5041322065798775,0.915035067737366,1.0
14,114,shifted_double_lane,moderate,M1,handling_07,handling,0.026995415910637928,1.7744174062100977,3.6537616420987438,1.6663800515581304,0.4776230995800532,0.8354365345460371,1.0
14,114,shifted_double_lane,moderate,M1,handling_08,handling,0.02509103341764814,1.798951796168522,3.6672866806081847,1.693890590795557,0.4410941049153161,0.8473793515458979,1.0
14,114,shifted_double_lane,moderate,M1,handling_09,handling,0.025058962181709134,1.8959550475831803,3.6440374308956076,1.7900191251080713,0.48487665867417,0.8961451473517283,1.0
14,114,shifted_double_lane,moderate,M2,nominal_00,nominal,0.03158964980633442,1.6070120849566465,3.6136304589681814,1.4967318084761634,0.5538836034835679,0.7500261368821785,1.0
14,114,shifted_double_lane,moderate,M2,nominal_01,nominal,0.0345644217403634,1.575960744310282,3.6078580210384406,1.4666136032052535,0.5644176240805903,0.7336043637526253,1.0
14,114,shifted_double_lane,moderate,M2,nominal_02,nominal,0.03743212071499876,1.5575925078060944,3.5856993393322756,1.4461622400720022,0.6177005252607656,0.7244504177526885,1.0
14,114,shifted_double_lane,moderate,M2,nominal_03,nominal,0.027822906760946613,1.6697137290476332,3.6241039780919104,1.5612178668726413,0.5255161334818568,0.7820521106157553,1.0
14,114,shifted_double_lane,moderate,M2,nominal_04,nominal,0.04139839366087487,1.461881059033348,3.6062437802042626,1.3480732869980958,0.5824574308839633,0.6753200903356285,1.0
14,114,shifted_double_lane,moderate,M2,nominal_05,nominal,0.03992461482914143,1.5152482885586833,3.596376537655892,1.4056386523328868,0.5911349180709644,0.7019103173313312,1.0
14,114,shifted_double_lane,moderate,M2,nominal_06,nominal,0.0422264112939542,1.4716612027094582,3.599302533731132,1.3602917103292567,0.5905779119897594,0.6796480410222536,1.0
14,114,shifted_double_lane,moderate,M2,nominal_07,nominal,0.04706280204687865,1.3983509055711083,3.606408280886231,1.2863727463692265,0.5768702053511049,0.6413385234462653,1.0
14,114,shifted_double_lane,moderate,M2,nominal_08,nominal,0.031082337030211443,1.6435482843546247,3.6033230302769685,1.5344908163143358,0.5712609869263517,0.7685779869925458,1.0
14,114,shifted_double_lane,moderate,M2,nominal_09,nominal,0.04825224406539492,1.386318845490906,3.6042894786364577,1.2742084207909672,0.5819967343037326,0.6350003929824547,1.0
14,114,shifted_double_lane,moderate,M2,heavy_00,heavy,0.03389555662679887,1.6399191918653317,3.5565810856489906,1.5370985216528752,0.6439964544138019,0.7650619503251032,1.0
14,114,shifted_double_lane,moderate,M2,heavy_01,heavy,0.040860572580467255,1.5049906658756982,3.547575843419334,1.3971240542695509,0.6811461023057982,0.6958264241410308,1.0
14,114,shifted_double_lane,moderate,M2,heavy_02,heavy,0.04222493635992879,1.504016165349504,3.541611442951224,1.3983001656144696,0.6883505651106122,0.6945960221802001,1.0
14,114,shifted_double_lane,moderate,M2,heavy_03,heavy,0.03482708385471088,1.6148571522693453,3.5475325232977393,1.5091709089819676,0.6709791769518673,0.7527273049457048,1.0
14,114,shifted_double_lane,moderate,M2,heavy_04,heavy,0.03639751352177594,1.6082492682425549,3.533857153370328,1.50278096384479,0.6992814033966169,0.7491612299738968,1.0
14,114,shifted_double_lane,moderate,M2,heavy_05,heavy,0.0372018154397803,1.5613289178844398,3.5443603515580073,1.452881038096319,0.6868630253218185,0.7255285253236583,1.0
14,114,shifted_double_lane,moderate,M2,heavy_06,heavy,0.03497188814569044,1.6213969118692184,3.552706234387235,1.518083120058408,0.6541764987270895,0.7555178153856296,1.0
14,114,shifted_double_lane,moderate,M2,heavy_07,heavy,0.042893587625066475,1.499986333422575,3.531866480123856,1.3930456196184762,0.712399166908338,0.6927786893654627,1.0
14,114,shifted_double_lane,moderate,M2,heavy_08,heavy,0.05099435725697876,1.3874642700092843,3.531168529958665,1.2795517361926387,0.7202407520773688,0.6335228603651507,1.0
14,114,shifted_double_lane,moderate,M2,heavy_09,heavy,0.03850290481600145,1.5661084430918504,3.5423052596148477,1.4615031479084606,0.6817520903448141,0.7269184698666172,1.0
14,114,shifted_double_lane,moderate,M2,handling_00,handling,0.03042255552046986,2.0675864852685377,3.678725913795181,1.9489256151202787,0.43244020507662356,0.9702763916511064,1.0
14,114,shifted_double_lane,moderate,M2,handling_01,handling,0.04547051440019057,1.8207464588838784,3.6748173587357336,1.7196309163054644,0.45819303006226536,0.8569235918786446,1.0
14,114,shifted_double_lane,moderate,M2,handling_02,handling,0.0359419828133127,1.9777566619988498,3.6701002406534498,1.8656738917136821,0.46225429455561656,0.9307960959429574,1.0
14,114,shifted_double_lane,moderate,M2,handling_03,handling,0.03848333405250638,1.90694171035657,3.6802806492712348,1.8013851824622729,0.44048139879626086,0.8974457833958812,1.0
14,114,shifted_double_lane,moderate,M2,handling_04,handling,0.04187694338680097,1.8396649502896432,3.683790456116972,1.7386890254837242,0.43800211195812416,0.8665635940921713,1.0
14,114,shifted_double_lane,moderate,M2,handling_05,handling,0.03569698450266507,1.9677358381214192,3.6794595753843917,1.8585978558032996,0.4340456764082267,0.9245855728195872,1.0
14,114,shifted_double_lane,moderate,M2,handling_06,handling,0.042268262594775736,1.9451439755141577,3.6505950329282673,1.8380222773144614,0.5054185964081198,0.9171641386200142,1.0
14,114,shifted_double_lane,moderate,M2,handling_07,handling,0.04913312474309243,1.7809933421335986,3.669879485524322,1.6763962321765469,0.4787859019815144,0.8373080629821548,1.0
14,114,shifted_double_lane,moderate,M2,handling_08,handling,0.044625018095154664,1.805374446661496,3.6829462779412445,1.7037570055732905,0.44213116465375824,0.8491974635826559,1.0
14,114,shifted_double_lane,moderate,M2,handling_09,handling,0.0427282489259535,1.9051794140995366,3.6604467036461013,1.8008643296650395,0.48608443637071913,0.8981807346457311,1.0
14,114,shifted_double_lane,moderate,M3,nominal_00,nominal,0.02626341454775019,1.60270044673075,3.6112086082673813,1.4943539183987498,0.5534056428306705,0.7494948990573955,1.0
14,114,shifted_double_lane,moderate,M3,nominal_01,nominal,0.0287331939543129,1.5716774508808706,3.605327355632132,1.4641220793441745,0.5639257201132302,0.7330785075610251,1.0
14,114,shifted_double_lane,moderate,M3,nominal_02,nominal,0.03121405266092713,1.5533199742419648,3.5833478377707135,1.4437444253924054,0.617177756103966,0.7239451314497213,1.0
14,114,shifted_double_lane,moderate,M3,nominal_03,nominal,0.02380186995406801,1.665294845514407,3.6215457534822026,1.5588533280309012,0.5250571797254621,0.7814948391458206,1.0
14,114,shifted_double_lane,moderate,M3,nominal_04,nominal,0.03415205913076228,1.457854524966415,3.6037222587294893,1.3458212706521484,0.5819594215494918,0.674837136859486,1.0
14,114,shifted_double_lane,moderate,M3,nominal_05,nominal,0.0332610667262817,1.5110562621604535,3.593725355060299,1.4031051235747198,0.5906194195818182,0.701403258185516,1.0
14,114,shifted_double_lane,moderate,M3,nominal_06,nominal,0.03508545325689023,1.4675686134854382,3.5966691397515818,1.3578585142050255,0.5900656440987938,0.6791562313661083,1.0
14,114,shifted_double_lane,moderate,M3,nominal_07,nominal,0.039210817492365296,1.3944097847453731,3.6037077652297462,1.2839309539160684,0.5763619887185546,0.6408613572192425,1.0
14,114,shifted_double_lane,moderate,M3,nominal_08,nominal,0.02625777120191091,1.6391367688684617,3.6008589882410758,1.5320378560223824,0.5707684074430757,0.7680367615804771,1.0
14,114,shifted_double_lane,moderate,M3,nominal_09,nominal,0.04029099521060982,1.3824019999993182,3.6015661529567105,1.2717882113689392,0.5814840201625116,0.6345267791260871,1.0
14,114,shifted_double_lane,moderate,M3,heavy_00,heavy,0.033010843322903424,1.6370348489381858,3.5581208720842645,1.5365048485336783,0.6438909385398536,0.7649908605248771,1.0
14,114,shifted_double_lane,moderate,M3,heavy_01,heavy,0.03929084425876132,1.5023564668857907,3.5493442807363804,1.3966498915892447,0.6810705488976354,0.6957920930356938,1.0
14,114,shifted_double_lane,moderate,M3,heavy_02,heavy,0.040713301103866145,1.5013872290931605,3.5433626631767305,1.3978357737508114,0.688277674407278,0.694565761153845,1.0
14,114,shifted_double_lane,moderate,M3,heavy_03,heavy,0.033888952431989805,1.612055052207074,3.5492502817103393,1.5086889800974268,0.6708950309008389,0.7526837870321934,1.0
14,114,shifted_double_lane,moderate,M3,heavy_04,heavy,0.03557370639250602,1.605479473877318,3.535845386771423,1.5023765236861413,0.6992180808072476,0.7491434049266467,1.0
14,114,shifted_double_lane,moderate,M3,heavy_05,heavy,0.03600159630377386,1.5586422678115979,3.5462189692703725,1.4525030159920493,0.6867931785447184,0.7255009907020086,1.0
14,114,shifted_double_lane,moderate,M3,heavy_06,heavy,0.03400219242594578,1.618544166624943,3.5542998457411037,1.5175364812096477,0.6540780376867067,0.755456682065912,1.0
14,114,shifted_double_lane,moderate,M3,heavy_07,heavy,0.04152413377097472,1.4973999883705622,3.5339060996838323,1.3926502900793576,0.7123464320933584,0.6927698537774986,1.0
14,114,shifted_double_lane,moderate,M3,heavy_08,heavy,0.04909577985332419,1.385037730278129,3.533212406620167,1.2790390650446468,0.720193242462912,0.6335154826544271,1.0
14,114,shifted_double_lane,moderate,M3,heavy_09,heavy,0.037321041838135983,1.563379173447204,3.5440300384819725,1.4609532094000843,0.6816739105024567,0.7268829846394301,1.0
14,114,shifted_double_lane,moderate,M3,handling_00,handling,0.034876149943472094,2.0529409552082885,3.654377743423331,1.931935063360669,0.43057789234728205,0.9665908880932044,1.0
14,114,shifted_double_lane,moderate,M3,handling_01,handling,0.023302638526444132,1.8068161763087733,3.649665430945765,1.7037354182325881,0.45617135416861776,0.853558327613186,1.0
14,114,shifted_double_lane,moderate,M3,handling_02,handling,0.029084061199605618,1.9633146206446053,3.645065463201235,1.8487559302730314,0.4602152720427577,0.9271476477886611,1.0
14,114,shifted_double_lane,moderate,M3,handling_03,handling,0.026546427490589615,1.8932999239514905,3.655660249401692,1.7853321005015963,0.43857592984521604,0.8940051141334768,1.0
