seed,budget,method,tracking,feasible
184,0.25,LearnedBackbone,0.011477142487238254,1.0
184,0.25,LearnedRank1,0.019903266045569842,1.0
184,0.25,LearnedRank2,0.049497895260175145,1.0
184,0.25,Local,0.33887396467931635,1.0
184,0.25,OracleGroupRank2,0.04460119904144422,1.0
184,0.5,ExactIndividual,0.006641956987464872,1.0
184,0.5,LearnedBackbone,0.013210803226503033,1.0
184,0.5,LearnedRank1,0.015821426739229878,1.0
184,0.5,LearnedRank2,0.020175607960206985,1.0
184,0.5,Local,0.022311658762641528,1.0
184,0.5,OracleGroupRank2,0.017745997297788828,1.0
184,0.75,ExactIndividual,0.006641956987464872,1.0
184,0.75,LearnedBackbone,0.010897924763530057,1.0
184,0.75,LearnedRank1,0.012827180292488478,1.0
184,0.75,LearnedRank2,0.013667177809016853,1.0
184,0.75,Local,0.014360776391336002,1.0
184,0.75,OracleGroupRank2,0.012950442096044013,1.0
184,1.25,ExactIndividual,0.006641956987464872,1.0
184,1.25,LearnedBackbone,0.00832059406757967,1.0
184,1.25,LearnedRank1,0.007946900295051604,1.0
184,1.25,LearnedRank2,0.007297436729061187,1.0
184,1.25,Local,0.007430564813381145,1.0
184,1.25,OracleGroupRank2,0.007289277458228377,1.0
184,1.75,ExactIndividual,0.006641956987464872,1.0
184,1.75,LearnedBackbone,0.008001203701015584,1.0
184,1.75,LearnedRank1,0.007079031550376664,1.0
184,1.75,LearnedRank2,0.006926632378334167,1.0
184,1.75,Local,0.006985523969362721,1.0
184,1.75,OracleGroupRank2,0.006906435129143921,1.0
184,2.75,ExactIndividual,0.006641956987464872,1.0
184,2.75,LearnedBackbone,0.007544540072784866,1.0
184,2.75,LearnedRank1,0.006714704126567512,1.0
184,2.75,LearnedRank2,0.00667832654606526,1.0
184,2.75,Local,0.006695523728531304,1.0
184,2.75,OracleGroupRank2,0.006678526357226069,1.0
184,4.75,ExactIndividual,0.006641956987464872,1.0
184,4.75,LearnedBackbone,0.007544540072784866,1.0
184,4.75,LearnedRank1,0.006671047706215396,1.0
184,4.75,LearnedRank2,0.0066449635487776295,1.0
184,4.75,Local,0.006662487356240366,1.0
184,4.75,OracleGroupRank2,0.0066509984417868154,1.0
185,0.25,ExactIndividual,0.00673145930284449,1.0
185,0.25,LearnedBackbone,0.011612971605676958,1.0
185,0.25,LearnedRank1,0.016132129558992084,1.0
185,0.25,LearnedRank2,0.04484257963784596,1.0
185,0.25,Local,0.53523772498955,1.0
185,0.25,OracleGroupRank2,0.04274337307651203,1.0
185,0.5,ExactIndividual,0.00673145930284449,1.0
185,0.5,LearnedBackbone,0.010824070638983415,1.0
185,0.5,LearnedRank1,0.013877543250643765,1.0
