seed,condition,method,tracking,steering,beta,feasible
155,load_shift,ExactDeployment,0.00689661181898095,0.8251082525722394,0.5304959313066021,1.0
155,load_shift,ExactFamily,0.008305721354694576,0.8251405084347336,0.5305329858677311,1.0
155,load_shift,ExactIndividual,0.007333937869299704,0.8251459862118932,0.5305252438677817,1.0
155,load_shift,GlobalExact,0.012374911953644737,0.8251467775944618,0.5306264077528341,1.0
155,load_shift,Local,0.007807697047568671,0.8251630986660776,0.5305421180742067,1.0
155,load_shift,SwapWithinFamily,0.010035824388642032,0.8251536410236954,0.53055153676613,1.0
155,nominal,ExactDeployment,0.006620986150248461,0.7985577680426372,0.45949145231862143,1.0
155,nominal,ExactFamily,0.007496385797501167,0.798553465763125,0.45949739703409315,1.0
155,nominal,ExactIndividual,0.006620986150248461,0.7985577680426372,0.45949145231862143,1.0
155,nominal,GlobalExact,0.011258940550224875,0.798560026625251,0.45956953642776194,1.0
155,nominal,Local,0.007075310653647649,0.7985723490811825,0.4595048201967147,1.0
155,nominal,SwapWithinFamily,0.009098306499590137,0.7985650516560057,0.45951219627099477,1.0
155,tire_fade,ExactDeployment,0.006768397743179558,0.8280041530431864,0.53836530666834,1.0
155,tire_fade,ExactFamily,0.008254733689003544,0.8280397157157089,0.5384061927131639,1.0
155,tire_fade,ExactIndividual,0.007257213520864071,0.8280453263196631,0.5383982528884403,1.0
155,tire_fade,GlobalExact,0.012388540986481076,0.8280458726731227,0.5385018674012182,1.0
155,tire_fade,Local,0.007740226900872586,0.8280626886389288,0.5384155044223727,1.0
155,tire_fade,SwapWithinFamily,0.010015013780614727,0.828052981005072,0.5384251429469755,1.0
