severity,method,client,family,tracking_rmse_deg_s,beta_rms_deg,steering_rms_deg,peak_steering_deg,peak_steering_rate_deg_s,peak_lateral_accel_mps2,peak_force_utilization,finite,feasible
near_linear,M5,handling_00,handling,0.020586791477514264,0.1322201197386924,0.5241331611350065,1.1658327092181318,11.093168368512934,1.68664085287814,0.19922277504195354,True,True
near_linear,M5,handling_01,handling,0.020706053318499295,0.1359440466480367,0.5213130920117267,1.1606051988041977,11.149840998092705,1.6856500167544524,0.19911960987862126,True,True
near_linear,M5,handling_02,handling,0.020607749813531185,0.12926319298507166,0.5243839618325294,1.1663364705639672,11.046202269873003,1.6878991695628873,0.19939024223004065,True,True
near_linear,M5,handling_03,handling,0.02023331361682635,0.12266256066473048,0.552454608793303,1.2178325559728302,10.96378473461665,1.6845055681339471,0.1986378178703453,True,True
near_linear,M5,handling_04,handling,0.020485050075385914,0.11127543344299314,0.552868884822271,1.2185186874817717,10.782301141056774,1.6899385609506608,0.19934770368002253,True,True
near_linear,M5,handling_05,handling,0.01989095436677037,0.12059928941949044,0.5323790721746022,1.180741016635215,10.925539704999212,1.6908587169116431,0.1996742716843394,True,True
near_linear,M5,handling_06,handling,0.02053475095544764,0.13470905925655446,0.535422913988459,1.1867673762044155,11.132311154580558,1.6821940462526055,0.19852693155986084,True,True
near_linear,M5,handling_07,handling,0.020675754812787907,0.14093172510751611,0.547248708942707,1.208721451691241,11.226971257372307,1.6758526991880183,0.19759110796091695,True,True
near_linear,M5,handling_08,handling,0.021032109288087478,0.1291701921478652,0.5217016295973652,1.1616023905697959,11.036077558789303,1.688088730680103,0.19946035524121672,True,True
near_linear,M5,handling_09,handling,0.020122142625449688,0.12161070529524841,0.5340844464813648,1.184024501951382,10.937117507494367,1.6895324239846967,0.19949146865935338,True,True
moderate,M1,nominal_00,nominal,0.03823185400694469,0.3151952595305125,1.0110823058629905,2.267534666930708,2.0197357934709945,3.1357953881589267,0.36135126928447653,True,True
moderate,M1,nominal_01,nominal,0.03581059084615093,0.3431232146648776,0.910798585618281,2.081370362801809,1.8623561892023293,3.130137056948952,0.36106766278041835,True,True
moderate,M1,nominal_02,nominal,0.034775375315734755,0.3421066076316001,0.9278807549826604,2.1125818537064025,1.8881757570948383,3.131627792662897,0.36096510049924485,True,True
