phase,point,policy,cohort,condition,mu,epsilon,method,tracking,std,q95,feasible_rate,rho,baseline,tracking_increase_pct,viable
A,map,biased-low-speed,30,correct,0.9,4,Isotropic,0.009274597635801811,0.0013827429555468681,0.011577157502475581,1.0,0.9709686520573666,0.007752062444710858,19.640388631412044,False
A,map,biased-low-speed,30,correct,0.9,8,ControlAware,0.008022619765771209,0.0005798450029317288,0.009174496265952401,1.0,0.969330644389885,0.007752062444710858,3.490133406303353,True
A,map,biased-low-speed,30,correct,0.9,8,Isotropic,0.008135703819062241,0.0007272130996138583,0.009650372129452238,1.0,0.9694215392715172,0.007752062444710858,4.948894272815574,True
A,map,biased-low-speed,30,correct,0.9,inf,ControlAware,0.007752062444710858,0.0001969448849467444,0.008022095791972349,1.0,0.9689252468746538,0.007752062444710858,0.0,False
A,map,biased-low-speed,30,correct,0.9,inf,Isotropic,0.007752062444710858,0.0001969448849467444,0.008022095791972349,1.0,0.9689252468746538,0.007752062444710858,0.0,False
A,map,biased-low-speed,50,correct,0.9,2,ControlAware,0.008836358676978543,0.00110362877235317,0.011183122021677953,1.0,0.969471219400846,0.0077220261533201915,14.430571737693864,False
A,map,biased-low-speed,50,correct,0.9,2,Isotropic,0.009291235591038123,0.0014753848485347988,0.012470840786600774,1.0,0.9697226183063012,0.007722026153320183,20.321213714657492,False
A,map,biased-low-speed,50,correct,0.9,4,ControlAware,0.008069810862608703,0.00039302892316601555,0.008670996762773426,1.0,0.9693768096830456,0.0077220261533201915,4.50380123536589,True
A,map,biased-low-speed,50,correct,0.9,4,Isotropic,0.008206271412474835,0.0004861641080066634,0.008925353738077192,1.0,0.9694745642961152,0.007722026153320183,6.270961138178022,True
A,map,biased-low-speed,50,correct,0.9,8,ControlAware,0.007861330414169462,0.00026994854009107516,0.008266174118675876,1.0,0.969204731958572,0.0077220261533201915,1.8039858721454305,True
A,map,biased-low-speed,50,correct,0.9,8,Isotropic,0.00792145753690957,0.0003221394570122802,0.00839278403763826,1.0,0.9692822596655336,0.007722026153320183,2.582630253118734,True
A,map,biased-low-speed,50,correct,0.9,inf,ControlAware,0.0077220261533201915,0.00018689011762541556,0.007946735994609117,1.0,0.968863842981366,0.0077220261533201915,0.0,False
A,map,biased-low-speed,50,correct,0.9,inf,Isotropic,0.007722026153320183,0.00018689011762541803,0.00794673599460912,1.0,0.968863842981366,0.007722026153320183,0.0,False
A,map,biased-low-speed,100,correct,0.9,2,ControlAware,0.008008648869680515,0.00038439627612479323,0.008741825530353473,1.0,0.9693173717636,0.007686013592935068,4.197693288520998,True
A,map,biased-low-speed,100,correct,0.9,2,Isotropic,0.008139648655320245,0.0004963258123458354,0.009137611493808477,1.0,0.969369430013449,0.007686013592935073,5.9020850913164,True
A,map,biased-low-speed,100,correct,0.9,4,ControlAware,0.007691051132945515,0.00018708726706447772,0.00799962409539663,1.0,0.9691116738286788,0.007686013592935068,0.06554164847012434,True
A,map,biased-low-speed,100,correct,0.9,4,Isotropic,0.007712942694579303,0.00021194283322276825,0.008048844477721513,1.0,0.9691388356459923,0.007686013592935073,0.35036500155274375,True
A,map,biased-low-speed,100,correct,0.9,8,ControlAware,0.007712443280257224,0.00020927332379110808,0.008031441383571494,1.0,0.969060727489373,0.007686013592935068,0.3438672987314373,True
A,map,biased-low-speed,100,correct,0.9,8,Isotropic,0.007724105495625744,0.0002192694026222932,0.008061350391587487,1.0,0.9691075018541772,0.007686013592935073,0.49560025141881514,True
A,map,biased-low-speed,100,correct,0.9,inf,ControlAware,0.007686013592935068,0.0001849895515513141,0.007946199646636513,1.0,0.9688682847530836,0.007686013592935068,0.0,False
A,map,biased-low-speed,100,correct,0.9,inf,Isotropic,0.007686013592935073,0.0001849895515513121,0.007946199646636513,1.0,0.9688682847530836,0.007686013592935073,0.0,False
A,map,random,10,correct,0.9,2,ControlAware,0.020213393564209276,0.0070258788403336535,0.032545725730851356,1.0,0.9726967756090054,0.007728677680618539,161.53754108415046,False
A,map,random,10,correct,0.9,2,Isotropic,0.022358660958853294,0.007998547618777906,0.03771617525242552,1.0,0.9730799345880256,0.007728677680618539,189.29477826359417,False
A,map,random,10,correct,0.9,4,ControlAware,0.013837231953692693,0.003528496626340708,0.019513950133790432,1.0,0.9716668001641128,0.007728677680618539,79.03750842647739,False
A,map,random,10,correct,0.9,4,Isotropic,0.015565953443993235,0.004335818692588181,0.02163862997713022,1.0,0.9720894402668666,0.007728677680618539,101.40513147583437,False
A,map,random,10,correct,0.9,8,ControlAware,0.009518320113766026,0.0013862196365586566,0.011781322705439549,1.0,0.9705783600428254,0.007728677680618539,23.1558684047005,False
A,map,random,10,correct,0.9,8,Isotropic,0.010171486916874542,0.0017999722967978052,0.012988079287018131,1.0,0.9708082269134624,0.007728677680618539,31.607078690600822,False
A,map,random,10,correct,0.9,inf,ControlAware,0.007728677680618539,0.00020315184108191963,0.007968979861498136,1.0,0.9690095995031436,0.007728677680618539,0.0,False
A,map,random,10,correct,0.9,inf,Isotropic,0.007728677680618539,0.00020315184108191963,0.007968979861498136,1.0,0.9690095995031436,0.007728677680618539,0.0,False
A,map,random,20,correct,0.9,2,ControlAware,0.013512343810203721,0.003647827418766217,0.01976959993840126,1.0,0.9710997245410264,0.00768166793067456,75.90377418224514,False
A,map,random,20,correct,0.9,2,Isotropic,0.015378766908505849,0.004686431138483826,0.023743757802845267,1.0,0.9715106457748536,0.007681667930674566,100.2008814660563,False
A,map,random,20,correct,0.9,4,ControlAware,0.00970642899385904,0.0015510724196783287,0.012731421684652525,1.0,0.9701529745801049,0.00768166793067456,26.3583518769299,False
A,map,random,20,correct,0.9,4,Isotropic,0.01041293148587739,0.0019794244051906822,0.014165315726725582,1.0,0.9705057893108062,0.007681667930674566,35.555605629557306,False
