gamma,low,time_scale,plant,severity,scenario,method,tracking
0,18,2,beta_noacc,strong,constant_22,M1,0.009677774440168107
0,18,2,beta_noacc,strong,constant_22,M2,0.009694192265388287
0,18,2,beta_noacc,strong,constant_22,M3,0.009469150721952604
0,18,2,beta_noacc,strong,constant_22,M4,0.00948869213643533
0,18,2,beta_noacc,strong,previous_s_curve,M1,0.015045463656475378
0,18,2,beta_noacc,strong,previous_s_curve,M2,0.01507102960255227
0,18,2,beta_noacc,strong,previous_s_curve,M3,0.015650378497610556
0,18,2,beta_noacc,strong,previous_s_curve,M4,0.015673142670469088
0,18,2,beta_noacc,strong,shifted_double_lane,M1,0.013961110758150168
0,18,2,beta_noacc,strong,shifted_double_lane,M2,0.013972763007448137
0,18,2,beta_noacc,strong,shifted_double_lane,M3,0.012611230796035204
0,18,2,beta_noacc,strong,shifted_double_lane,M4,0.012630625850723243
0,18,2,legacy,moderate,constant_22,M1,0.006290891749114331
0,18,2,legacy,moderate,constant_22,M2,0.006301698370174396
0,18,2,legacy,moderate,constant_22,M3,0.006143274330627007
0,18,2,legacy,moderate,constant_22,M4,0.0061560785799262
0,18,2,legacy,moderate,previous_s_curve,M1,0.009096457014837295
0,18,2,legacy,moderate,previous_s_curve,M2,0.009113364916056549
0,18,2,legacy,moderate,previous_s_curve,M3,0.0094635882920154
0,18,2,legacy,moderate,previous_s_curve,M4,0.009478792449275224
0,18,2,legacy,moderate,shifted_double_lane,M1,0.008586035661057182
0,18,2,legacy,moderate,shifted_double_lane,M2,0.008593946657415943
0,18,2,legacy,moderate,shifted_double_lane,M3,0.007632139629276507
0,18,2,legacy,moderate,shifted_double_lane,M4,0.007644850545034666
0,18,2,legacy,near_linear,constant_22,M1,0.0031063100077539448
0,18,2,legacy,near_linear,constant_22,M2,0.003111672012193688
0,18,2,legacy,near_linear,constant_22,M3,0.0030298861857735596
0,18,2,legacy,near_linear,constant_22,M4,0.0030362216558390423
0,18,2,legacy,near_linear,previous_s_curve,M1,0.004332683573358389
0,18,2,legacy,near_linear,previous_s_curve,M2,0.0043410631805738745
0,18,2,legacy,near_linear,previous_s_curve,M3,0.004506972722440456
0,18,2,legacy,near_linear,previous_s_curve,M4,0.0045145467482827295
0,18,2,legacy,near_linear,shifted_double_lane,M1,0.004131734159801379
0,18,2,legacy,near_linear,shifted_double_lane,M2,0.004135714981538278
0,18,2,legacy,near_linear,shifted_double_lane,M3,0.0036363512753502373
0,18,2,legacy,near_linear,shifted_double_lane,M4,0.0036426258882230403
0,18,2,legacy,strong,constant_22,M1,0.009677774440168107
0,18,2,legacy,strong,constant_22,M2,0.009694192265388287
0,18,2,legacy,strong,constant_22,M3,0.009469150721952604
0,18,2,legacy,strong,constant_22,M4,0.00948869213643533
0,18,2,legacy,strong,previous_s_curve,M1,0.015044295086255493
0,18,2,legacy,strong,previous_s_curve,M2,0.015069859815997644
0,18,2,legacy,strong,previous_s_curve,M3,0.015648733834234405
0,18,2,legacy,strong,previous_s_curve,M4,0.01567149681361244
0,18,2,legacy,strong,shifted_double_lane,M1,0.013962580800061948
0,18,2,legacy,strong,shifted_double_lane,M2,0.013974232949206978
0,18,2,legacy,strong,shifted_double_lane,M3,0.012612683730271253
0,18,2,legacy,strong,shifted_double_lane,M4,0.012632077511719637
0,18,2,vy,moderate,constant_22,M1,0.006290891749114332
0,18,2,vy,moderate,constant_22,M2,0.006301698370174396
0,18,2,vy,moderate,constant_22,M3,0.006143274330627008
0,18,2,vy,moderate,constant_22,M4,0.0061560785799262
0,18,2,vy,moderate,previous_s_curve,M1,0.009099505593100578
0,18,2,vy,moderate,previous_s_curve,M2,0.009116432111086915
0,18,2,vy,moderate,previous_s_curve,M3,0.009467382264003375
0,18,2,vy,moderate,previous_s_curve,M4,0.009482606084844691
0,18,2,vy,moderate,shifted_double_lane,M1,0.008583888018711685
0,18,2,vy,moderate,shifted_double_lane,M2,0.008591785097254258
