case,client,speed,rho,error_a,error_b,k_beta,k_yaw,k_integral,prefilter
nonlinear_all_original,handling_00,16.3,0.9292665147972622,0.06621388736680393,0.1790126145261316,0.7849448768470421,0.8669229626567592,5.99591824198413,1.094232443325515
nonlinear_all_original,handling_00,16.4,0.9296265532489147,0.06642630937262824,0.18479458105112942,0.791147179092733,0.8708934383446197,6.0007246248672566,1.0964328035779138
nonlinear_all_original,handling_00,16.5,0.9299831088943403,0.06663671385059748,0.19059053530179845,0.7973494813384243,0.8748639140324804,6.005531007750384,1.0986331638303126
nonlinear_all_original,handling_00,16.6,0.9303362292957714,0.06684415665301524,0.19639709181151524,0.8035517835841155,0.8788343897203411,6.010337390633511,1.1008335240827114
nonlinear_all_original,handling_00,16.7,0.9306859612435205,0.067047807978126,0.20221119274386307,0.8097540858298066,0.8828048654082016,6.0151437735166375,1.1030338843351102
nonlinear_all_original,handling_00,16.8,0.931032350768133,0.06724694199763588,0.2080300692492652,0.8159563880754979,0.8867753410960623,6.019950156399765,1.1052342445875087
nonlinear_all_original,handling_00,16.9,0.9313754431524741,0.06744092728278563,0.21385120825236864,0.8221586903211888,0.8907458167839228,6.024756539282891,1.1074346048399075
nonlinear_all_original,handling_00,17.0,0.9317152829437423,0.06762921799144311,0.21967232381975693,0.8283609925668801,0.8947162924717835,6.0295629221660185,1.1096349650923063
nonlinear_all_original,handling_00,17.1,0.932051913965394,0.0678113457747277,0.22549133239884975,0.8345632948125713,0.8986867681596441,6.034369305049145,1.111835325344705
nonlinear_all_original,handling_00,17.2,0.9323853793289802,0.06798691235948814,0.23130633133632783,0.8407655970582624,0.9026572438475047,6.039175687932272,1.1140356855971039
nonlinear_all_original,handling_00,17.3,0.932715721445875,0.06815558276214113,0.23711558018188433,0.8469678993039536,0.9066277195353654,6.0439820708153995,1.1162360458495024
nonlinear_all_original,handling_00,17.4,0.9330429820388952,0.06831707908959726,0.24291748436391106,0.8531702015496446,0.9105981952232258,6.048788453698526,1.1184364061019012
nonlinear_all_original,handling_00,17.5,0.9333672021538142,0.06847117488398753,0.2487105808906544,0.8593725037953359,0.9145686709110865,6.053594836581653,1.1206367663543
nonlinear_all_original,handling_00,17.6,0.933688422170739,0.06861768996944036,0.25449352578589185,0.8655748060410271,0.9185391465989472,6.05840121946478,1.1228371266066988
nonlinear_all_original,handling_00,17.7,0.9340066818153716,0.06875648576107257,0.2602650830142493,0.8717771082867182,0.9225096222868078,6.063207602347907,1.1250374868590975
nonlinear_all_original,handling_00,17.8,0.9343220201701335,0.06888746099850726,0.2660241146895425,0.8779794105324094,0.9264800979746683,6.068013985231033,1.127237847111496
nonlinear_all_original,handling_00,17.9,0.9346344756851613,0.06901054786851885,0.2717695723914064,0.8841817127781004,0.9304505736625289,6.072820368114161,1.1294382073638949
nonlinear_all_original,handling_00,18.0,0.9349440861891556,0.0691257084837462,0.27750048944203265,0.8903840150237916,0.9344210493503896,6.077626750997288,1.1316385676162937
nonlinear_all_original,handling_00,18.1,0.9352508889000941,0.0692329316867481,0.28321597401705845,0.8965863172694829,0.9383915250382503,6.082433133880414,1.1338389278686924
nonlinear_all_original,handling_00,18.2,0.9355549204357994,0.06933223015095745,0.2889152029832335,0.902788619515174,0.9423620007261109,6.087239516763542,1.1360392881210912
nonlinear_all_original,handling_00,18.3,0.9358562168243625,0.0694236377523005,0.2945974163711031,0.9089909217608652,0.9463324764139714,6.092045899646668,1.1382396483734898
nonlinear_all_original,handling_00,18.4,0.9361548135144129,0.06950720718733726,0.3002619124040942,0.9151932240065562,0.950302952101832,6.096852282529795,1.1404400086258886
nonlinear_all_original,handling_00,18.5,0.936450745385248,0.06958300781578149,0.30590804301644337,0.9213955262522475,0.9542734277896927,6.101658665412922,1.1426403688782873
nonlinear_all_original,handling_00,18.6,0.9367440467568061,0.06965112370710537,0.3115352098017892,0.9275978284979387,0.9582439034775534,6.106465048296049,1.1448407291306861
nonlinear_all_original,handling_00,18.7,0.9370347513994893,0.06971165187268769,0.317142860342179,0.9338001307436297,0.9622143791654139,6.111271431179176,1.147041089383085
nonlinear_all_original,handling_00,18.8,0.9373228925438443,0.06976470066656743,0.32273048487398526,0.940002432989321,0.9661848548532745,6.116077814062303,1.1492414496354835
nonlinear_all_original,handling_00,18.9,0.9376085028900725,0.06981038833936404,0.3282976132529598,0.946204735235012,0.9701553305411351,6.12088419694543,1.1514418098878823
nonlinear_all_original,handling_00,19.0,0.9378916146174123,0.06984884173129646,0.33384381218556275,0.9524070374807032,0.9741258062289957,6.125690579828556,1.153642170140281
nonlinear_all_original,handling_00,19.1,0.9381722593933535,0.06988019509149625,0.339368682697899,0.9586093397263945,0.9780962819168564,6.130496962711684,1.1558425303926798
nonlinear_all_original,handling_00,19.2,0.9384504683827063,0.0699045890119696,0.34487185781718266,0.9648116419720856,0.982066757604717,6.13530334559481,1.1580428906450786
nonlinear_all_original,handling_00,19.3,0.9387262722565249,0.06992216946561937,0.3503530004437503,0.9710139442177768,0.9860372332925776,6.140109728477937,1.1602432508974774
nonlinear_all_original,handling_00,19.4,0.9389997012008742,0.0699330869387057,0.35581180139430646,0.9772162464634677,0.9900077089804382,6.144916111361064,1.162443611149876
nonlinear_all_original,handling_00,19.5,0.9392707849254501,0.0699374956490063,0.36124797759939237,0.983418548709159,0.9939781846682988,6.149722494244191,1.1646439714022747
nonlinear_all_original,handling_00,19.6,0.9395395526720659,0.06993555284173818,0.3666612704400522,0.9896208509548503,0.9979486603561595,6.154528877127318,1.1668443316546735
nonlinear_all_original,handling_00,19.7,0.9398060332229651,0.06992741815603327,0.3720514442104155,0.9958231532005413,1.00191913604402,6.159335260010445,1.169044691907072
nonlinear_all_original,handling_00,19.8,0.9400702549090176,0.06991325305542684,0.3774182846944045,1.0020254554462324,1.0058896117318807,6.164141642893572,1.1712450521594708
nonlinear_all_original,handling_00,19.9,0.9403322456177609,0.06989322031641687,0.3827615978460965,1.0082277576919236,1.0098600874197412,6.168948025776698,1.1734454124118696
nonlinear_all_original,handling_00,20.0,0.9405920328012918,0.06986748356970282,0.38808120856441203,1.0144300599376148,1.013830563107602,6.173754408659826,1.1756457726642684
nonlinear_all_original,handling_00,20.1,0.940905116388988,0.06983620688920941,0.3933769595538083,1.0238898281940947,1.0189315438309048,6.177861401776935,1.178710923710302
nonlinear_all_original,handling_00,20.200000000000003,0.941215056969494,0.06979955442445004,0.39864871026352194,1.0333495964505746,1.0240325245542077,6.181968394894045,1.1817760747563355
nonlinear_all_original,handling_00,20.3,0.9415219041562368,0.0697576900721959,0.40389633589870483,1.0428093647070542,1.0291335052775104,6.1860753880111545,1.184841225802369
nonlinear_all_original,handling_00,20.4,0.9418257064512129,0.0697107771837877,0.40911972649744316,1.0522691329635336,1.034234486000813,6.190182381128265,1.1879063768484026
nonlinear_all_original,handling_00,20.5,0.9421265112786065,0.06965897830476135,0.41431878606828937,1.0617289012200137,1.0393354667241161,6.194289374245375,1.1909715278944362
nonlinear_all_original,handling_00,20.6,0.9424243650170827,0.06960245494376782,0.4194934317834266,1.0711886694764936,1.044436447447419,6.198396367362484,1.1940366789404697
nonlinear_all_original,handling_00,20.700000000000003,0.9427193130308164,0.06954136736804091,0.42464359322309986,1.0806484377329735,1.049537428170722,6.202503360479594,1.1971018299865035
nonlinear_all_original,handling_00,20.8,0.9430113996993279,0.06947587442292082,0.4297692116673272,1.090108205989453,1.0546384088940246,6.206610353596703,1.2001669810325368
nonlinear_all_original,handling_00,20.9,0.9433006684461656,0.06940613337316624,0.434870239431303,1.0995679742459326,1.0597393896173273,6.210717346713813,1.2032321320785704
nonlinear_all_original,handling_00,21.0,0.943587161766519,0.0693322997639977,0.43994663924122,1.1090277425024124,1.0648403703406302,6.214824339830923,1.206297283124604
nonlinear_all_original,handling_00,21.1,0.9438709212537852,0.06925452729999902,0.4449983836475483,1.1184875107588923,1.069941351063933,6.218931332948033,1.2093624341706377
nonlinear_all_original,handling_00,21.200000000000003,0.9441519876251544,0.06917296774017712,0.4500254544730535,1.1279472790153722,1.075042331787236,6.223038326065143,1.2124275852166713
nonlinear_all_original,handling_00,21.3,0.9444304007462584,0.06908777080763326,0.4550278422930958,1.1374070472718518,1.0801433125105386,6.227145319182252,1.2154927362627048
nonlinear_all_original,handling_00,21.4,0.9447061996549141,0.06899908411243925,0.4600055459459446,1.1468668155283313,1.0852442932338415,6.231252312299362,1.2185578873087382
nonlinear_all_original,handling_00,21.5,0.9449794225840262,0.06890705308643923,0.46495857207105135,1.1563265837848111,1.0903452739571442,6.2353593054164715,1.221623038354772
nonlinear_all_original,handling_00,21.6,0.9452501069836589,0.06881182092881599,0.46988693467337644,1.1657863520412912,1.0954462546804473,6.239466298533581,1.2246881894008055
nonlinear_all_original,handling_00,21.700000000000003,0.9455182895423377,0.0687135285613617,0.4747906547120449,1.175246120297771,1.1005472354037502,6.243573291650692,1.227753340446839
nonlinear_all_original,handling_00,21.8,0.9457840062075994,0.06861231459249247,0.4796697597117215,1.1847058885542505,1.1056482161270529,6.247680284767801,1.2308184914928726
nonlinear_all_original,handling_00,21.9,0.9460472922058331,0.06850831528913115,0.4845242833952401,1.1941656568107302,1.1107491968503556,6.251787277884911,1.2338836425389061
nonlinear_all_original,handling_00,22.0,0.9463081820614384,0.06840166455566214,0.48935426533613247,1.20362542506721,1.1158501775736585,6.2558942710020204,1.2369487935849397
nonlinear_all_original,handling_00,22.1,0.9465667096153275,0.06829249391923363,0.4941597506297964,1.21308519332369,1.1209511582969613,6.26000126411913,1.2400139446309733
nonlinear_all_original,handling_00,22.200000000000003,0.946822908042811,0.06818093252075046,0.4989407895821569,1.2225449615801698,1.1260521390202642,6.26410825723624,1.243079095677007
nonlinear_all_original,handling_00,22.3,0.9470768098708727,0.06806710711095541,0.503697437414742,1.2320047298366494,1.131153119743567,6.268215250353349,1.2461442467230404
nonlinear_all_original,handling_00,22.4,0.9473284469948826,0.06795114205105718,0.5084297539851849,1.2414644980931289,1.1362541004668696,6.27232224347046,1.249209397769074
nonlinear_all_original,handling_00,22.5,0.9475778506947551,0.06783315931740776,0.5131378035222295,1.250924266349609,1.1413550811901727,6.276429236587569,1.2522745488151075
nonlinear_all_original,handling_00,22.6,0.9478250516505748,0.06771327850977915,0.5178216543743874,1.2603840346060888,1.1464560619134754,6.280536229704679,1.2553396998611412
nonlinear_all_original,handling_00,22.700000000000003,0.948070079957728,0.06759161686283088,0.5224813787714511,1.2698438028625687,1.1515570426367785,6.2846432228217886,1.2584048509071748
nonlinear_all_original,handling_00,22.8,0.9483129651415375,0.06746828926039536,0.5271170525981217,1.2793035711190481,1.1566580233600812,6.288750215938898,1.2614700019532084
nonlinear_all_original,handling_00,22.9,0.9485537361714398,0.06734340825224419,0.5317287551790667,1.2887633393755278,1.1617590040833838,6.292857209056008,1.2645351529992417
nonlinear_all_original,handling_00,23.0,0.9487924214747049,0.06721708407302666,0.5363165690747612,1.2982231076320077,1.1668599848066867,6.296964202173118,1.2676003040452755
nonlinear_all_original,handling_00,23.1,0.9490290489497356,0.06708942466310598,0.5408805798875136,1.3076828758884875,1.1719609655299896,6.301071195290228,1.270665455091309
nonlinear_all_original,handling_00,23.200000000000003,0.9492636459789493,0.06696053569103576,0.5454208760771191,1.3171426441449674,1.1770619462532925,6.3051781884073375,1.2737306061373426
nonlinear_all_original,handling_00,23.3,0.9494962394412607,0.06683052057745197,0.5499375487856112,1.326602412401447,1.1821629269765952,6.309285181524447,1.2767957571833761
nonlinear_all_original,handling_00,23.4,0.949726855724183,0.06669948052017186,0.5544306916706251,1.3360621806579265,1.187263907699898,6.313392174641557,1.2798609082294097
nonlinear_all_original,handling_00,23.5,0.9499555207355612,0.06656751452030975,0.5589004007469113,1.3455219489144064,1.1923648884232008,6.317499167758666,1.2829260592754432
nonlinear_all_original,handling_00,23.6,0.950182259914954,0.0664347194092445,0.5633467742355673,1.3549817171708862,1.1974658691465039,6.321606160875776,1.2859912103214768
