seed,regime,kind,method,models,tracking,worst_client,parameter_error,feasible,rho
128,short-data,discrete,OraclePartition,3,0.007509273379109495,0.010536044990086266,0.05652780569962502,1.0,0.9685923094369244
128,unbalanced,discrete,Global,1,0.01041651101588972,0.021883314793765235,0.11184916290860149,1.0,0.9671571411076236
128,unbalanced,discrete,LearnedK,3,0.0077075559304354835,0.011553366538107367,0.04689390765074559,1.0,0.9680925608306392
128,unbalanced,discrete,Local,30,0.006608382618671021,0.0073351313153355675,0.02202300567976358,1.0,0.969066963734578
128,unbalanced,discrete,OracleFamily,3,0.007689106011835811,0.011512963567493132,0.047135728990843076,1.0,0.9681004574296098
128,unbalanced,discrete,OraclePartition,3,0.00769968795738669,0.011549865597329833,0.04700581836917389,1.0,0.968094673791185
129,baseline,discrete,Global,1,0.011315188417863673,0.018056562521679934,0.1291305509258344,1.0,0.9675041001001864
129,baseline,discrete,LearnedK,3,0.007294341252117636,0.0093562078212155,0.04771194923271647,1.0,0.9689622476215988
129,baseline,discrete,Local,30,0.006795577100304987,0.007351434724886034,0.023704725915626584,1.0,0.9687158735784772
129,baseline,discrete,OracleFamily,3,0.007294341252117636,0.0093562078212155,0.04771194923271647,1.0,0.9689622476215988
129,baseline,discrete,OraclePartition,3,0.007294341252117636,0.0093562078212155,0.04771194923271647,1.0,0.9689622476215988
129,continuous,continuous,Global,1,0.009126919918174669,0.014622611316689835,0.07863481052449285,1.0,0.9655818814014786
129,continuous,continuous,LearnedK,2,0.00767762893078985,0.010025179050185669,0.042673390429661034,1.0,0.9665173493340224
129,continuous,continuous,Local,30,0.006849040232780653,0.007331721712653133,0.0214445140616354,1.0,0.96738101067759
129,continuous,continuous,OraclePartition,2,0.007721932547613121,0.010549380761143335,0.04189081746589008,1.0,0.9664024732395144
129,high-noise,discrete,Global,1,0.011673233573681904,0.0167382449468586,0.13010409578466028,1.0,0.9670965369869148
129,high-noise,discrete,LearnedK,4,0.008290004144784126,0.0201272547460922,0.08337730064815435,1.0,0.968531548670935
129,high-noise,discrete,Local,30,0.006893292130847995,0.009974790919128467,0.07399870218878485,1.0,0.9688047587821038
129,high-noise,discrete,OracleFamily,3,0.007538659685347027,0.009607863404510066,0.048285007294877544,1.0,0.968450504820725
129,high-noise,discrete,OraclePartition,3,0.007517213562911112,0.009607863404510066,0.04863255052268337,1.0,0.968450504820725
129,short-data,discrete,Global,1,0.011495936189955815,0.018917413279023833,0.1379300752263575,1.0,0.9676905331517816
129,short-data,discrete,LearnedK,2,0.011775065217188812,0.0245711127717378,0.19229674840238162,1.0,0.969072556015384
129,short-data,discrete,Local,30,0.012246708523576514,0.030188956324461266,0.22388780874175526,1.0,0.9702665787225768
129,short-data,discrete,OracleFamily,3,0.007985280830878164,0.011739018032268332,0.06307776105401221,1.0,0.9689407653477335
129,short-data,discrete,OraclePartition,3,0.007985280830878164,0.011739018032268332,0.06307776105401221,1.0,0.9689407653477335
129,unbalanced,discrete,Global,1,0.009675055234815894,0.018237458104461233,0.1077846326109479,1.0,0.9676644755052224
129,unbalanced,discrete,LearnedK,3,0.007387837675527294,0.009452160613661368,0.04566636983015039,1.0,0.9685452709758514
129,unbalanced,discrete,Local,30,0.006663123179908079,0.007389065024104201,0.02489303843965772,1.0,0.9684113999872248
129,unbalanced,discrete,OracleFamily,3,0.007385465840692131,0.009410068663600701,0.04562926097735955,1.0,0.9685572973251352
129,unbalanced,discrete,OraclePartition,3,0.007385465840692131,0.009410068663600701,0.04562926097735955,1.0,0.9685572973251352
130,baseline,discrete,Global,1,0.011267546482160459,0.0186396163414654,0.1251168860117884,1.0,0.9668700766060128
130,baseline,discrete,LearnedK,3,0.007805645047128872,0.0095629189380462,0.05057434676306961,1.0,0.9683105485973802
130,baseline,discrete,Local,30,0.0067006315154841765,0.0072629536885176,0.022328383874233488,1.0,0.9685662931825336
130,baseline,discrete,OracleFamily,3,0.007772271021305939,0.0095629189380462,0.04874433783731743,1.0,0.968327829709082
130,baseline,discrete,OraclePartition,3,0.007772271021305939,0.0095629189380462,0.04874433783731743,1.0,0.968327829709082
130,continuous,continuous,Global,1,0.009100887794310881,0.013266122857178065,0.07585493834957906,1.0,0.9652543682289066
130,continuous,continuous,LearnedK,2,0.007641908935064249,0.0116875742166239,0.04265000585388887,1.0,0.9663160711264632
130,continuous,continuous,Local,30,0.006935727965256778,0.007647382094505666,0.025049956596173217,1.0,0.9668894345231028
130,continuous,continuous,OraclePartition,2,0.007479929779585037,0.009403831094810966,0.04248539749998496,1.0,0.9660967710148302
130,high-noise,discrete,Global,1,0.012264462921070723,0.019467395216895365,0.135477708158819,1.0,0.9667544348856704
130,high-noise,discrete,LearnedK,6,0.008408120039472118,0.020212481724486298,0.08397060391877818,1.0,0.9680787573393616
130,high-noise,discrete,Local,30,0.007269837295756373,0.010408551564753767,0.09682790761864708,1.0,0.9685312375727644
130,high-noise,discrete,OracleFamily,3,0.007701254683510873,0.010617210697402102,0.05294798432493245,1.0,0.9682371933763978
130,high-noise,discrete,OraclePartition,3,0.007701254683510873,0.010617210697402102,0.05294798432493245,1.0,0.9682371933763978
130,short-data,discrete,Global,1,0.011778871561044672,0.0196520420670384,0.1368947349239441,1.0,0.967454360211813
130,short-data,discrete,LearnedK,2,0.011176189202121723,0.025833096843916367,0.1655793727760071,1.0,0.9692010373684156
130,short-data,discrete,Local,30,0.013234678128487252,0.03564324467647753,0.2534737085288284,1.0,0.9740002674143045
130,short-data,discrete,OracleFamily,3,0.007449969752030313,0.010033507525739801,0.056985716934922666,1.0,0.968528935521976
130,short-data,discrete,OraclePartition,3,0.007449969752030313,0.010033507525739801,0.056985716934922666,1.0,0.968528935521976
130,unbalanced,discrete,Global,1,0.00911812361060535,0.0178143360702781,0.10456856644759412,1.0,0.9680141213779718
130,unbalanced,discrete,LearnedK,3,0.007109429504374225,0.009404040965140734,0.04585826821130912,1.0,0.968884177137601
130,unbalanced,discrete,Local,30,0.006629637810592156,0.007004622653514834,0.026479697563506148,1.0,0.9689078351291294
130,unbalanced,discrete,OracleFamily,3,0.00710235332211971,0.009404040965140734,0.0458869283415928,1.0,0.9688939038721418
130,unbalanced,discrete,OraclePartition,3,0.00710235332211971,0.009404040965140734,0.0458869283415928,1.0,0.9688939038721418
131,baseline,discrete,Global,1,0.011831092974697964,0.018460956596554366,0.1356684402138396,1.0,0.9667842092494212
131,baseline,discrete,LearnedK,3,0.007538381720060158,0.010656917573171366,0.050573981509506094,1.0,0.9682581433366204
131,baseline,discrete,Local,30,0.006707670953979981,0.007430933018577334,0.026018774402868733,1.0,0.9687176952566062
131,baseline,discrete,OracleFamily,3,0.007530030277066104,0.010656917573171366,0.04985046806366917,1.0,0.9682662823594456
131,baseline,discrete,OraclePartition,3,0.007530030277066104,0.010656917573171366,0.04985046806366917,1.0,0.9682662823594456
131,continuous,continuous,Global,1,0.009356877050605861,0.0150899016456784,0.07852002937241256,1.0,0.9650692552769272
131,continuous,continuous,LearnedK,2,0.007531027343650567,0.010562163883067735,0.04054895157254754,1.0,0.9660873663442592
131,continuous,continuous,Local,30,0.006843094354542186,0.0071023367607094675,0.024993317101948867,1.0,0.9671217500357018
131,continuous,continuous,OraclePartition,2,0.00763472872551227,0.0110342071822151,0.042119997630963885,1.0,0.965904101886836
131,high-noise,discrete,Global,1,0.011098813927461796,0.019211162487625666,0.13233858915424662,1.0,0.9675519593508976
131,high-noise,discrete,LearnedK,3,0.009292940431012538,0.016572704635382532,0.1004152810929229,1.0,0.9688233779494616
131,high-noise,discrete,Local,30,0.007321727563385354,0.011876791058205069,0.11239821757438889,1.0,0.968787813029901
131,high-noise,discrete,OracleFamily,3,0.0073776352129648155,0.009773739994516932,0.05099809311014731,1.0,0.9688781378436476
131,high-noise,discrete,OraclePartition,3,0.007383538241444391,0.009773739994516932,0.05122820078521562,1.0,0.9688670597904028
131,short-data,discrete,Global,1,0.011232392754518851,0.020409969193415266,0.134254214535598,1.0,0.9674505096346556
131,short-data,discrete,LearnedK,3,0.01385374971454573,0.03112149417506993,0.18870767409825503,1.0,0.969828223400935
131,short-data,discrete,Local,30,0.013607194853731776,0.032153317557295606,0.21857659727353046,1.0,0.9701878977767412
131,short-data,discrete,OracleFamily,3,0.007337826132581177,0.010721615952571567,0.0649665049398794,1.0,0.9688392588204708
131,short-data,discrete,OraclePartition,3,0.007361004019354146,0.010721615952571567,0.06576672976855878,1.0,0.9689061199813044
131,unbalanced,discrete,Global,1,0.009281610756772881,0.017374866522901634,0.10369813936864776,1.0,0.9678741300234154
131,unbalanced,discrete,LearnedK,2,0.008450209957860916,0.0155907705569127,0.05739575881343666,1.0,0.9687585870707064
131,unbalanced,discrete,Local,30,0.00661938101780514,0.007264056965030266,0.027793072606437742,1.0,0.9687507537511946
131,unbalanced,discrete,OracleFamily,3,0.0074461262193749635,0.0107065915737236,0.0444648701365085,1.0,0.9687932623073874
131,unbalanced,discrete,OraclePartition,3,0.0074461262193749635,0.0107065915737236,0.0444648701365085,1.0,0.9687932623073874
132,baseline,discrete,Global,1,0.011980231347347586,0.019945471488395733,0.13818891366742025,1.0,0.9676037612643864
132,baseline,discrete,LearnedK,3,0.007654220526578487,0.011026846583466534,0.04477410356803097,1.0,0.9690083401305392
132,baseline,discrete,Local,30,0.006718303246657202,0.007382755536459933,0.02080269441992852,1.0,0.9689462709200948
132,baseline,discrete,OracleFamily,3,0.007645107576531724,0.010938145376324667,0.04479998683031047,1.0,0.9690193253622
132,baseline,discrete,OraclePartition,3,0.007638362854782199,0.010922554847427102,0.04464165103780975,1.0,0.969024722680494
132,continuous,continuous,Global,1,0.008988581882817608,0.015073659679245866,0.07665854957203605,1.0,0.9655750624282065
132,continuous,continuous,LearnedK,2,0.007648537334197835,0.011026956652416734,0.039983182095425465,1.0,0.9666455141520418
132,continuous,continuous,Local,30,0.006781662185031407,0.007141394314662634,0.022499166080834104,1.0,0.9673208606234314
132,continuous,continuous,OraclePartition,2,0.007643335389856776,0.010825904884321702,0.03932051224084726,1.0,0.9664252110791192
132,high-noise,discrete,Global,1,0.011568214283558797,0.019765581956361133,0.12901669676196176,1.0,0.966338378862184
132,high-noise,discrete,LearnedK,3,0.00876429945707273,0.016745273284208235,0.10928950367625823,1.0,0.96771857228286
132,high-noise,discrete,Local,30,0.007068462854332351,0.009905070854608832,0.11857846142934456,1.0,0.968315053225916
132,high-noise,discrete,OracleFamily,3,0.007439904544810057,0.011159276115569767,0.046046003125582914,1.0,0.9678678473289553
132,high-noise,discrete,OraclePartition,3,0.007439904544810057,0.011159276115569767,0.046046003125582914,1.0,0.9678678473289553
132,short-data,discrete,Global,1,0.011523679645148742,0.019268546521553,0.1302746330606926,1.0,0.9670455276239958
132,short-data,discrete,LearnedK,2,0.011241384723116562,0.019667936286963134,0.1713123587933347,1.0,0.9678520691134244
132,short-data,discrete,Local,30,0.011227478045991912,0.021868954320635334,0.15803432898541467,1.0,0.9706706639650856
132,short-data,discrete,OracleFamily,3,0.007706547680623854,0.010302642756341367,0.05821938209803256,1.0,0.968651894763808
132,short-data,discrete,OraclePartition,3,0.007706547680623854,0.010302642756341367,0.05821938209803256,1.0,0.968651894763808
132,unbalanced,discrete,Global,1,0.009520850436041634,0.0183718878620008,0.11131924198411233,1.0,0.967661031647253
132,unbalanced,discrete,LearnedK,3,0.0073223918609017485,0.009627660508758165,0.04736309434911293,1.0,0.9684393661725396
132,unbalanced,discrete,Local,30,0.006628502339711032,0.0071797562954920005,0.0175693519385429,1.0,0.9689292684374564
132,unbalanced,discrete,OracleFamily,3,0.007315928378389204,0.0096326925624772,0.04749506941382533,1.0,0.9684494853332842
132,unbalanced,discrete,OraclePartition,3,0.007315928378389204,0.0096326925624772,0.04749506941382533,1.0,0.9684494853332842
133,baseline,discrete,Global,1,0.012554727273724869,0.017812113709254465,0.13560987711940062,1.0,0.9671293020490788
133,baseline,discrete,LearnedK,3,0.0073696565956194605,0.010802003956682535,0.04530194033511943,1.0,0.9686817739710484
