gamma,low,high,time_scale,plant,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible
0,10,30,2,beta_noacc,moderate,M1,0.01356024103531348,0.0004313847057050963,0.014045758531069505,0.7654265641629081,1.0537075892103085,1.0
0,10,30,2,beta_noacc,moderate,M2,0.013561854585249939,0.00043473219507783996,0.014139069269684909,0.7654264115969205,1.0537282128806316,1.0
0,10,30,2,beta_noacc,moderate,M3,0.007343908572477362,0.00023051838045973295,0.0078051501896073665,0.7653202596110715,1.054433036714197,1.0
0,10,30,2,beta_noacc,moderate,M4,0.007358753373479082,0.00023222535336722659,0.007794687846463847,0.7653201975602554,1.0544537431972587,1.0
0,10,30,2,beta_noacc,near_linear,M1,0.006718808938150432,0.00020983616878741878,0.006953484461353981,0.38000876829538444,0.5256245000382623,1.0
0,10,30,2,beta_noacc,near_linear,M2,0.0067197908159440795,0.0002113371769226582,0.006999952822791869,0.3800087137331488,0.5256362482445984,1.0
0,10,30,2,beta_noacc,near_linear,M3,0.003528627751335824,0.00011943674328315661,0.0037584843415301,0.37996287600739936,0.5260181062141824,1.0
0,10,30,2,beta_noacc,near_linear,M4,0.003535677344785079,0.00012048462680472567,0.0037518781272742204,0.37996285989724315,0.5260297903631532,1.0
0,10,30,2,beta_noacc,strong,M1,0.020940632227134486,0.0006849542966423852,0.021718937808499723,1.1635753248858542,1.587175489408392,1.0
0,10,30,2,beta_noacc,strong,M2,0.020942041560499624,0.0006910395593041518,0.02186113871936954,1.1635749427166036,1.5871969109968729,1.0
0,10,30,2,beta_noacc,strong,M3,0.012120284470922367,0.0003313267917587447,0.012811989730187592,1.1633617126269569,1.588061133135867,1.0
0,10,30,2,beta_noacc,strong,M4,0.012144482993639691,0.00033304354557817713,0.012803623861501634,1.1633615168361486,1.5880844134106855,1.0
0,10,30,2,legacy,moderate,M1,0.013560807599947485,0.0004315086317477181,0.014046496864163038,0.7654254821032399,1.0537192705269156,1.0
0,10,30,2,legacy,moderate,M2,0.013562421620560988,0.00043485690193198966,0.014139815697984786,0.7654253294569566,1.0537398457168392,1.0
0,10,30,2,legacy,moderate,M3,0.007343107925924059,0.00023074208071521344,0.0078045494527528,0.7653189397049358,1.0544425706790728,1.0
0,10,30,2,legacy,moderate,M4,0.0073579477172959675,0.00023244896989850432,0.007794049396449308,0.7653188776066919,1.0544632356146282,1.0
0,10,30,2,legacy,near_linear,M1,0.006719083635366598,0.00020989585544412014,0.006953841484684345,0.3800083051346507,0.525631301892553,1.0
0,10,30,2,legacy,near_linear,M2,0.00672006581395571,0.00021139725385720928,0.007000314042635412,0.3800082505344061,0.5256430268059378,1.0
0,10,30,2,legacy,near_linear,M3,0.003528214834700571,0.00011954932917669722,0.00375816811337771,0.37996228781942254,0.5260238523930756,1.0
0,10,30,2,legacy,near_linear,M4,0.0035352622755666155,0.00012059763647202855,0.0037515441201139755,0.3799622716862606,0.5260355165878428,1.0
0,10,30,2,legacy,strong,M1,0.020941712351105035,0.0006851646931756694,0.02172030652704182,1.1635731090230355,1.587189647230745,1.0
0,10,30,2,legacy,strong,M2,0.02094312165663838,0.0006912512102383,0.021862522545546253,1.1635727267244231,1.5872109905180245,1.0
0,10,30,2,legacy,strong,M3,0.012119442418227757,0.0003316653515820302,0.01281147370452887,1.1633591833798147,1.5880698678072342,1.0
0,10,30,2,legacy,strong,M4,0.012143631077206986,0.0003333786658769166,0.012803045684370577,1.1633589875163,1.5880930806587463,1.0
